frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
49	0.265249	5	616.382	783.995	1600.063	618.910	2945.415	502.704	4291.317	741.697	4784.737	2246.051
50	0.270249	4	1364.546	602.055	2785.585	938.915	3229.756	1693.523	4461.358	712.264	--undefined--	--undefined--
51	0.275249	4	1447.423	513.219	2588.708	899.838	3275.925	894.518	4366.106	719.658	--undefined--	--undefined--
52	0.280249	4	1447.745	711.611	2645.680	460.214	3191.812	1294.698	4309.887	452.082	--undefined--	--undefined--
53	0.285249	4	1651.652	1316.463	2796.289	374.504	3535.284	1888.052	4500.955	502.787	--undefined--	--undefined--
54	0.290249	4	1704.415	1096.532	2875.488	227.682	3713.249	864.417	4657.645	291.347	--undefined--	--undefined--
55	0.295249	4	1808.671	1216.950	2857.546	183.566	3872.085	972.151	4602.737	350.626	--undefined--	--undefined--
56	0.300249	4	2046.626	1419.204	2812.475	228.870	3902.632	997.742	4593.891	251.141	--undefined--	--undefined--
57	0.305249	4	2096.576	2745.793	2757.339	227.625	3729.587	796.470	4615.182	243.282	--undefined--	--undefined--
58	0.310249	5	195.985	401.025	2429.027	1684.438	2794.113	253.986	3834.932	756.456	4679.433	360.842
59	0.315249	4	2138.998	1361.982	2841.582	189.582	3964.708	469.650	4719.242	269.641	--undefined--	--undefined--
60	0.320249	4	1851.069	1673.202	2818.027	113.100	3941.109	487.315	4686.530	221.885	--undefined--	--undefined--
61	0.325249	4	1092.996	1304.114	2821.653	108.144	3647.880	1084.397	4613.316	286.309	--undefined--	--undefined--
62	0.330249	4	1038.363	1129.165	2826.660	81.593	3576.181	854.930	4641.722	323.960	--undefined--	--undefined--
63	0.335249	4	2265.778	1768.470	2817.851	164.098	4024.920	889.400	4684.887	352.570	--undefined--	--undefined--
64	0.340249	4	2396.188	1428.072	2763.475	228.085	4136.312	762.632	4652.282	495.734	--undefined--	--undefined--
65	0.345249	5	112.026	325.914	2338.748	1230.859	2779.157	166.729	4054.921	573.401	4655.430	365.312
66	0.350249	5	165.216	279.432	2295.731	1029.808	2816.843	173.424	3997.597	446.424	4693.979	273.651
67	0.355249	5	157.565	242.247	2391.773	955.881	2856.150	247.782	3942.912	432.730	4718.187	257.503
68	0.360249	5	65.009	374.954	2169.213	1471.018	2904.048	233.468	3875.470	522.359	4689.991	307.694
69	0.365249	4	2238.691	1622.595	2840.697	237.766	3992.607	796.915	4664.034	323.362	--undefined--	--undefined--
70	0.370249	5	91.595	343.930	2339.809	941.770	2839.583	212.394	4215.376	528.887	4702.457	354.858
71	0.375249	4	2308.320	957.322	2872.708	168.658	4107.165	584.154	4736.193	224.606	--undefined--	--undefined--
72	0.380249	4	2095.903	1532.713	2856.955	192.127	3858.800	647.263	4726.670	156.531	--undefined--	--undefined--
73	0.385249	5	70.965	589.457	2398.295	1585.523	2818.652	260.539	3914.537	777.924	4610.343	269.137
74	0.390249	5	142.529	376.652	2515.043	902.268	2880.265	304.580	4198.973	853.870	4494.885	393.640
75	0.395249	5	161.686	215.441	2559.116	902.138	2859.025	201.715	4108.447	555.859	4614.228	629.915
76	0.400249	5	145.945	248.708	2483.829	906.653	2853.282	186.960	3926.303	574.777	4730.141	394.379
77	0.405249	5	228.965	266.172	2456.970	737.886	2883.269	492.088	3858.406	663.456	4674.358	297.878
78	0.410249	5	312.690	139.347	2240.473	291.129	2905.771	320.229	3682.348	296.477	4716.557	220.811
79	0.415249	5	306.064	109.766	2174.257	148.187	2835.023	171.013	3583.704	139.037	4721.106	468.968
80	0.420249	5	307.762	96.036	2168.025	112.115	2838.734	135.174	3583.397	119.623	4542.218	1009.531
81	0.425249	5	316.246	91.428	2165.596	112.211	2850.114	116.363	3562.571	125.489	4488.450	888.981
82	0.430249	5	312.578	95.777	2168.871	114.623	2840.848	106.046	3556.268	131.221	4423.030	932.456
83	0.435249	5	300.681	123.345	2178.492	121.143	2832.369	101.920	3557.976	120.636	4404.213	1377.702
84	0.440249	5	297.848	154.340	2192.106	129.969	2844.056	99.131	3559.293	106.952	4537.364	1721.242
85	0.445249	5	289.743	206.363	2200.991	132.470	2853.148	94.411	3566.116	92.856	4919.254	2050.849
86	0.450249	4	279.090	246.310	2203.406	128.506	2861.704	92.094	3559.774	91.570	--undefined--	--undefined--
