frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
524	2.640249	4	1215.597	385.602	1996.608	1485.500	3402.549	662.639	4481.373	830.431	--undefined--	--undefined--
525	2.645249	5	817.566	1106.088	1483.688	944.629	2672.389	1319.635	3755.176	755.285	4652.729	617.504
526	2.650249	5	712.187	743.539	1873.138	680.312	2909.431	1354.428	3815.124	1043.992	4692.974	614.446
527	2.655249	5	702.219	819.131	1847.555	483.891	2949.970	960.242	3892.886	1009.805	4683.207	783.391
528	2.660249	5	778.400	642.978	1808.907	508.303	2818.332	758.670	3825.489	682.028	4736.604	638.347
529	2.665249	5	861.217	555.027	1694.875	564.594	2673.958	635.285	3709.149	352.112	4835.495	500.653
530	2.670249	5	774.772	911.603	1610.609	590.323	2645.408	702.251	3669.860	357.437	4817.821	490.809
531	2.675249	5	580.301	684.416	1723.622	586.581	2760.597	702.104	3788.481	370.056	4803.747	474.565
532	2.680249	5	627.719	775.109	1765.563	622.312	2847.582	1170.618	3687.106	577.239	4738.595	430.752
533	2.685249	5	776.882	737.259	1678.726	473.855	2641.671	1168.953	3642.432	434.608	4745.870	245.248
534	2.690249	5	843.724	815.346	1569.947	576.447	2486.344	851.704	3696.022	465.356	4766.821	322.773
535	2.695249	4	1181.200	631.877	2156.082	855.128	3670.609	1118.537	4590.497	1113.459	--undefined--	--undefined--
536	2.700249	4	1087.264	536.838	2002.080	605.160	3244.594	962.051	4263.357	631.490	--undefined--	--undefined--
537	2.705249	5	957.939	900.804	1809.587	729.538	2714.695	1602.600	3930.443	1184.138	4639.370	925.839
538	2.710249	5	624.577	773.396	1730.825	333.042	2719.675	774.721	4004.177	451.940	4888.922	734.477
539	2.715249	5	759.221	1031.733	1727.375	587.059	2709.102	756.551	3909.805	663.232	4703.783	773.687
540	2.720249	5	822.137	1103.703	1687.850	685.471	2589.668	766.318	3743.031	523.839	4653.130	348.982
541	2.725249	5	544.203	1572.091	1671.129	447.317	2684.523	1198.777	3708.754	694.845	4674.519	411.113
542	2.730249	5	782.959	1008.545	1700.034	333.799	3010.573	1162.303	3769.441	819.307	4722.982	682.892
543	2.735249	5	814.122	624.559	1756.023	412.510	2903.587	1009.044	3824.675	622.475	4762.138	769.897
544	2.740249	5	756.444	702.536	1729.034	519.674	2773.786	873.521	3792.254	715.808	4700.152	860.465
545	2.745249	5	778.702	526.958	1714.240	356.946	2876.165	546.887	3838.187	594.003	4691.580	820.521
546	2.750249	5	754.697	483.947	1707.875	351.122	2868.260	570.314	3834.260	566.553	4654.480	768.700
547	2.755249	5	637.053	663.262	1655.927	448.907	2886.095	831.055	3642.358	885.622	4573.623	465.260
548	2.760249	5	666.843	569.060	1585.582	426.217	2810.583	585.481	3639.831	612.382	4638.881	263.798
549	2.765249	5	716.044	596.557	1680.653	526.193	2896.237	684.991	3664.328	998.544	4644.359	413.086
550	2.770249	4	705.004	1553.957	1730.758	584.168	3170.564	604.943	4352.328	964.535	--undefined--	--undefined--
551	2.775249	4	1231.918	1594.743	1802.777	579.912	3274.619	514.287	4322.612	771.204	--undefined--	--undefined--
552	2.780249	5	815.586	1599.670	1759.892	625.909	3232.838	889.999	4437.346	1377.300	4890.066	3971.146
553	2.785249	5	694.429	1501.899	1376.945	936.124	2710.351	833.413	3706.122	759.374	4756.601	700.282
554	2.790249	5	736.843	1036.510	1288.960	818.742	2758.596	459.975	3804.919	555.135	4789.046	586.358
555	2.795249	5	663.567	1238.294	1645.389	901.371	2881.418	998.727	3806.418	923.975	4795.228	1150.320
556	2.800249	5	425.352	1378.239	1614.050	485.789	2897.953	623.258	3757.134	608.924	4882.341	707.839
557	2.805249	5	472.154	1288.108	1528.807	326.404	2881.646	512.983	3808.895	521.497	4830.253	655.951
558	2.810249	5	550.065	814.980	1526.394	386.210	2836.368	682.299	3843.897	536.026	4715.916	840.099
559	2.815249	5	594.830	722.097	1567.085	690.216	2790.696	724.470	3956.105	708.738	4619.158	1128.292
560	2.820249	5	854.064	815.420	2042.214	997.179	2787.257	8032.298	3420.148	1098.975	4490.843	853.604
561	2.825249	4	1060.430	895.962	1905.155	570.319	3448.181	679.871	4465.670	922.204	--undefined--	--undefined--
562	2.830249	5	893.597	1275.936	1775.917	580.063	3323.710	4840.966	3591.793	836.595	4618.745	1098.732
563	2.835249	5	835.375	1576.872	1671.150	970.812	2716.205	1853.745	3983.742	1229.168	4435.504	1194.828
564	2.840249	4	831.368	683.583	1888.333	603.983	3417.831	1087.680	4422.009	642.162	--undefined--	--undefined--
565	2.845249	5	771.491	446.764	1821.117	443.061	2980.898	1123.011	3689.982	798.885	4850.234	463.453
566	2.850249	5	743.830	709.531	1692.606	721.744	2765.428	644.367	3761.432	555.774	4935.782	502.439
567	2.855249	5	253.891	1812.748	1572.847	829.630	2782.123	542.079	3975.403	456.704	4926.839	1307.657
568	2.860249	4	1419.678	438.082	2868.426	363.340	3931.962	364.351	4639.989	922.209	--undefined--	--undefined--
569	2.865249	5	455.112	1596.849	1446.229	435.151	2892.311	361.284	3880.722	295.469	4671.818	599.334
570	2.870249	5	631.556	890.298	1546.002	435.692	2831.415	629.833	3770.382	383.691	4665.918	516.837
571	2.875249	5	600.999	746.813	1750.192	449.346	2918.842	970.735	3693.484	968.019	4664.305	579.637
572	2.880249	5	681.918	778.146	1800.899	305.189	2983.691	674.996	3883.100	1017.024	4710.532	562.134
573	2.885249	5	745.551	698.694	1732.536	503.769	2929.565	657.536	3935.854	707.064	4721.557	638.738
574	2.890249	5	787.427	835.161	1611.931	1029.616	2809.462	488.176	4019.125	469.026	4633.234	709.787
575	2.895249	5	748.586	691.025	1807.198	646.145	2827.933	396.368	4037.917	422.392	4649.921	614.879
576	2.900249	5	733.934	691.534	1834.503	607.976	2884.628	484.398	3997.831	530.699	4708.770	693.770
577	2.905249	5	953.896	971.526	1492.548	1051.768	2854.038	293.768	3909.853	385.240	4634.839	423.548
578	2.910249	5	825.349	819.165	1558.918	697.763	2897.557	288.618	3862.379	282.194	4543.996	295.642
579	2.915249	5	1005.420	804.251	1520.408	863.426	2894.430	528.466	3807.585	245.598	4582.804	428.804
580	2.920249	5	1087.368	891.872	1425.504	872.997	2860.870	448.050	3824.411	149.765	4667.518	355.622
581	2.925249	5	1098.272	589.841	1558.820	1382.120	2844.429	369.069	3850.039	139.488	4620.493	438.311
582	2.930249	5	1213.862	384.570	1503.002	2153.618	2792.021	406.716	3826.086	155.849	4509.559	565.809
583	2.935249	5	719.486	3467.618	1323.893	304.244	2746.006	224.193	3822.774	120.799	4525.987	404.223
584	2.940249	5	1111.982	292.035	1926.051	2095.872	2745.217	363.149	3835.689	131.620	4672.502	402.207
585	2.945249	5	1036.467	195.333	2459.203	1514.022	2662.703	980.803	3798.646	241.248	4695.305	455.264
586	2.950249	5	1191.834	385.713	1904.310	3575.986	2671.856	499.246	3789.852	206.104	4598.005	463.592
587	2.955249	4	1381.322	302.985	2730.356	221.536	3821.795	253.050	4555.547	506.877	--undefined--	--undefined--
588	2.960249	5	1141.191	389.815	1639.386	2025.257	2779.197	154.579	3866.266	265.827	4650.645	317.121
589	2.965249	5	1124.607	269.479	1819.118	2278.829	2800.951	235.506	3834.961	218.215	4687.392	285.932
590	2.970249	5	1157.852	229.124	1886.981	2454.533	2754.077	345.595	3862.342	169.656	4685.788	390.743
591	2.975249	5	1130.843	193.253	1914.975	4777.643	2679.398	330.326	3861.344	159.653	4550.402	541.232
592	2.980249	5	1146.689	209.464	2266.043	4739.056	2689.810	703.590	3889.477	203.932	4445.322	563.032
593	2.985249	5	1077.825	216.939	1840.641	1458.647	2974.079	566.041	3983.991	172.473	4583.692	453.325
594	2.990249	5	1071.412	246.086	1843.343	1846.622	2871.732	408.126	3910.620	240.269	4647.854	365.335
595	2.995249	4	1185.814	261.224	2773.140	340.976	3853.324	196.058	4579.530	451.690	--undefined--	--undefined--
596	3.000249	4	1291.044	369.572	2715.776	290.156	3906.588	190.435	4545.916	353.123	--undefined--	--undefined--
597	3.005249	5	358.411	1254.601	1295.212	523.097	2702.253	225.822	3891.089	179.079	4536.367	211.079
598	3.010249	5	675.803	449.092	1294.530	400.840	2659.772	216.643	3855.679	231.740	4482.139	250.463
599	3.015249	5	711.348	278.743	1340.624	284.846	2658.466	169.223	3871.390	337.672	4427.882	326.085
600	3.020249	5	736.770	219.888	1376.410	199.374	2666.043	168.971	3720.018	746.560	4419.090	353.037
601	3.025249	5	757.964	198.129	1390.428	189.157	2667.354	161.852	3603.781	804.028	4366.401	441.038
602	3.030249	5	778.924	206.211	1406.136	211.224	2681.339	138.072	3737.369	1128.778	4013.472	448.894
603	3.035249	5	784.865	206.080	1412.705	213.172	2679.713	134.646	3446.792	846.665	4019.978	315.851
604	3.040249	5	782.950	194.242	1411.965	189.724	2667.887	126.844	3307.546	617.732	4003.261	224.254
605	3.045249	5	787.889	228.837	1423.875	226.730	2675.969	128.268	3385.842	624.713	4083.278	367.421
606	3.050249	5	788.226	227.537	1429.023	233.252	2679.189	126.729	3399.264	579.787	4126.448	405.112
607	3.055249	5	791.282	238.259	1437.868	244.756	2673.449	140.714	3358.515	555.449	4101.812	324.721
608	3.060249	5	791.643	228.527	1438.932	233.365	2678.300	127.798	3385.880	561.906	4112.279	339.679
609	3.065249	5	798.471	256.104	1457.139	278.559	2683.260	128.238	3426.748	559.784	4185.467	435.650
610	3.070249	5	791.066	224.994	1450.513	250.898	2679.656	107.961	3435.204	556.594	4191.174	414.427
611	3.075249	5	784.612	216.786	1450.990	259.325	2680.241	116.005	3381.287	589.628	4171.787	363.245
612	3.080249	5	782.957	207.395	1450.585	255.269	2680.926	116.416	3371.685	599.397	4180.194	336.419
613	3.085249	5	783.350	214.752	1455.762	272.481	2680.576	119.511	3356.495	599.247	4190.712	331.347
614	3.090249	5	782.913	212.053	1463.368	292.175	2675.791	117.928	3352.377	589.541	4182.587	407.649
615	3.095249	5	780.525	204.872	1467.698	288.574	2672.791	106.977	3355.712	562.809	4188.935	431.243
616	3.100249	5	782.326	215.047	1481.269	291.112	2674.941	116.846	3390.679	558.703	4183.995	416.988
617	3.105249	5	776.548	204.943	1476.387	261.883	2671.859	108.009	3408.476	549.214	4166.807	375.031
618	3.110249	5	768.329	200.647	1486.137	287.549	2665.528	119.122	3386.905	556.021	4148.043	310.928
619	3.115249	5	766.154	191.241	1481.690	283.628	2667.485	110.383	3431.968	554.563	4143.301	360.036
620	3.120249	5	768.024	214.479	1489.659	330.286	2669.147	115.250	3453.151	533.033	4163.492	425.647
621	3.125249	5	763.086	211.614	1489.309	313.487	2659.495	115.770	3431.991	487.324	4180.034	383.909
622	3.130249	5	758.335	223.268	1492.967	317.931	2653.682	115.051	3412.218	463.092	4190.776	359.523
623	3.135249	5	753.040	243.887	1496.566	331.450	2652.691	108.605	3432.799	466.586	4199.564	400.815
624	3.140249	5	746.366	238.741	1497.383	316.402	2649.679	100.180	3442.063	437.562	4241.644	425.964
625	3.145249	5	735.145	238.044	1505.990	319.930	2643.809	111.433	3399.671	382.725	4342.580	406.404
626	3.150249	5	725.512	226.373	1503.801	304.284	2643.921	108.731	3405.268	387.028	4337.834	396.995
627	3.155249	5	717.282	258.648	1513.077	324.274	2647.594	118.948	3411.042	421.837	4281.485	393.700
628	3.160249	5	701.475	237.027	1516.845	293.116	2642.073	112.797	3406.090	389.762	4305.758	377.797
629	3.165249	5	688.449	223.387	1524.054	281.276	2636.602	109.840	3379.116	347.195	4344.186	348.304
630	3.170249	5	670.238	208.323	1525.201	267.309	2634.451	117.491	3359.836	329.946	4371.062	322.274
631	3.175249	5	657.697	192.717	1529.637	255.042	2632.636	119.906	3341.939	317.299	4375.161	277.505
632	3.180249	5	644.290	232.627	1550.843	319.977	2639.897	159.980	3321.359	392.695	4310.272	211.250
633	3.185249	5	628.867	217.965	1561.658	310.254	2653.592	164.173	3345.660	451.474	4251.407	199.242
634	3.190249	5	602.381	232.998	1586.350	337.430	2686.854	180.612	3380.253	557.677	4179.284	184.965
635	3.195249	5	569.184	190.561	1577.885	287.998	2698.119	158.937	3428.706	513.088	4152.446	155.964
636	3.200249	5	532.098	173.945	1572.358	263.881	2700.013	133.402	3451.543	416.418	4144.016	117.147
637	3.205249	5	502.920	146.168	1550.209	221.730	2690.270	116.500	3457.029	394.568	4129.332	102.621
638	3.210249	5	413.161	270.500	1528.217	299.523	2650.961	137.172	3405.253	358.554	4057.944	128.881
639	3.215249	5	270.704	466.497	1480.973	305.407	2653.479	122.397	3447.187	425.046	4052.234	177.893
640	3.220249	5	254.810	175.650	1451.741	264.468	2718.650	136.658	3843.420	544.622	4289.688	1007.529
641	3.225249	5	247.182	124.859	1430.512	247.670	2859.252	316.666	4068.063	787.663	4450.080	1919.328
642	3.230249	5	239.064	108.696	1412.181	273.586	2695.885	405.323	3716.306	648.221	4574.530	730.183
643	3.235249	5	231.416	96.273	1431.842	309.764	2660.932	183.759	3873.941	665.950	4537.154	817.337
644	3.240249	5	234.158	94.498	1440.489	300.533	2666.537	107.042	3927.926	639.827	4670.410	1004.532
645	3.245249	5	225.520	84.528	1436.489	284.377	2649.473	100.687	3888.243	550.693	4807.094	879.773
646	3.250249	5	224.620	86.899	1478.023	536.470	2634.716	110.567	3892.598	640.966	4743.108	983.790
647	3.255249	5	216.074	110.758	1487.293	496.902	2709.233	224.415	3746.769	998.979	4541.198	635.799
648	3.260249	5	223.505	120.501	1583.912	476.395	2857.833	288.196	4283.459	661.789	4336.875	2214.038
649	3.265249	5	231.402	145.847	1652.525	609.131	2797.510	372.194	4128.387	1389.408	4448.947	913.031
650	3.270249	5	247.984	190.692	1628.152	961.993	2723.907	476.536	3796.994	738.543	4599.324	593.001
651	3.275249	5	237.902	448.495	1995.880	864.392	2949.695	622.099	3844.632	526.017	4407.609	528.384
652	3.280249	4	1912.769	721.611	2956.942	579.083	3885.580	492.609	4407.183	538.807	--undefined--	--undefined--
653	3.285249	5	665.040	1488.844	1888.224	549.744	3003.353	580.936	4012.621	259.386	4591.968	315.885
654	3.290249	5	946.292	1298.510	1908.758	556.632	3258.166	1073.914	4040.660	247.265	4599.949	135.616
655	3.295249	5	263.218	3007.930	1766.545	726.964	3442.912	642.548	4042.118	530.822	4574.058	54.966
656	3.300249	5	971.454	1592.525	2599.216	1271.542	3433.423	516.674	4375.406	750.690	4559.518	51.651
657	3.305249	5	997.166	1201.844	2669.422	400.051	3652.580	688.700	4478.304	411.863	4535.647	132.185
658	3.310249	4	1556.930	1504.726	2751.767	522.409	3958.267	316.140	4488.933	66.134	--undefined--	--undefined--
659	3.315249	4	1752.435	988.794	2765.585	312.690	3903.951	161.507	4437.849	92.008	--undefined--	--undefined--
660	3.320249	4	1764.079	1319.547	2726.197	301.446	3853.267	172.140	4402.302	142.045	--undefined--	--undefined--
661	3.325249	4	1668.267	825.823	2715.985	190.808	3816.543	135.278	4440.896	136.149	--undefined--	--undefined--
662	3.330249	4	1613.176	816.541	2717.391	175.832	3741.857	69.005	4421.682	121.998	--undefined--	--undefined--
663	3.335249	4	1435.725	868.231	2720.660	118.122	3737.098	57.798	4373.137	164.087	--undefined--	--undefined--
664	3.340249	4	1345.387	635.005	2715.975	90.675	3766.509	118.419	4349.812	202.518	--undefined--	--undefined--
665	3.345249	4	1395.930	551.615	2698.173	159.214	3737.947	213.563	4370.898	153.641	--undefined--	--undefined--
666	3.350249	4	1510.139	474.075	2675.726	215.427	3708.597	148.025	4459.260	191.396	--undefined--	--undefined--
667	3.355249	4	1436.836	443.985	2668.497	130.562	3720.132	146.690	4474.766	231.077	--undefined--	--undefined--
668	3.360249	4	1417.496	279.531	2680.884	75.514	3721.739	231.531	4393.383	115.321	--undefined--	--undefined--
669	3.365249	4	1345.595	365.013	2690.608	75.011	3773.553	597.893	4400.737	162.768	--undefined--	--undefined--
670	3.370249	4	1290.594	625.952	2699.901	192.797	4308.368	1065.658	4315.259	383.519	--undefined--	--undefined--
671	3.375249	5	403.976	946.770	1658.383	773.767	2872.689	486.145	4241.847	240.083	4618.210	830.842
672	3.380249	5	270.161	808.635	1627.930	396.716	2922.122	367.060	4155.339	354.345	4529.164	468.143
673	3.385249	4	1607.188	531.562	2899.439	380.779	4125.737	476.209	4470.228	448.527	--undefined--	--undefined--
674	3.390249	4	1720.740	724.954	2869.390	479.501	4235.997	1108.784	4302.979	343.013	--undefined--	--undefined--
675	3.395249	4	1591.240	760.047	2741.476	834.150	3982.863	1043.855	4380.134	518.174	--undefined--	--undefined--
676	3.400249	4	1506.396	509.266	2742.026	789.262	3893.224	830.133	4444.626	560.848	--undefined--	--undefined--
677	3.405249	4	1384.967	553.215	2552.170	623.588	3834.477	1096.592	4269.371	647.306	--undefined--	--undefined--
678	3.410249	4	1390.738	546.059	2621.178	515.439	3481.738	2179.643	4136.556	529.417	--undefined--	--undefined--
679	3.415249	4	1582.767	501.328	2805.565	326.925	4051.019	602.360	4735.604	1291.208	--undefined--	--undefined--
680	3.420249	4	1548.092	594.996	2685.112	459.626	3890.128	621.044	4638.199	622.370	--undefined--	--undefined--
681	3.425249	4	1423.296	531.044	2489.425	663.211	3583.199	996.847	4595.018	386.551	--undefined--	--undefined--
682	3.430249	4	1321.630	614.717	2279.924	630.079	3374.712	774.955	4575.874	337.481	--undefined--	--undefined--
683	3.435249	4	1116.959	1004.087	2126.932	440.735	3337.994	486.126	4486.057	379.921	--undefined--	--undefined--
684	3.440249	4	1037.281	751.082	2112.902	282.070	3344.189	349.470	4425.648	332.991	--undefined--	--undefined--
685	3.445249	4	1120.676	689.309	2071.476	371.118	3408.976	600.189	4394.162	370.740	--undefined--	--undefined--
686	3.450249	4	1178.281	836.729	2030.334	460.083	3541.439	580.566	4324.982	489.193	--undefined--	--undefined--
687	3.455249	4	1324.866	842.017	2110.394	1084.722	3570.760	1077.766	4042.532	737.014	--undefined--	--undefined--
688	3.460249	5	538.576	1273.216	1549.370	910.280	2754.044	692.578	3865.633	609.446	4784.724	921.714
689	3.465249	5	632.893	650.241	1847.256	572.067	2863.834	712.711	3848.396	837.173	4688.032	596.241
690	3.470249	5	608.982	599.240	1862.579	424.749	2847.732	879.576	3784.163	866.106	4685.130	458.384
691	3.475249	5	607.019	1103.523	1740.559	596.374	2981.536	1112.837	3634.645	1438.516	4686.082	588.451
692	3.480249	5	844.278	1025.988	1703.502	643.318	3234.523	858.696	3620.602	3389.365	4600.138	607.036
693	3.485249	5	703.954	736.181	1548.764	555.890	3173.283	1043.490	3585.503	1688.525	4584.294	499.250
694	3.490249	5	681.168	904.437	1381.317	608.811	3047.368	670.697	3826.587	1046.013	4655.729	918.424
695	3.495249	5	678.356	1678.381	1275.395	855.887	2796.678	1251.395	3601.887	703.444	4728.099	695.167
696	3.500249	5	672.681	859.430	1657.430	862.799	2680.525	949.074	3665.378	630.440	4728.370	423.028
697	3.505249	5	574.253	629.168	1695.049	680.980	2823.429	620.581	3844.666	1020.308	4684.590	527.592
698	3.510249	5	590.922	589.084	1824.258	747.079	2987.174	955.593	3776.184	1243.508	4750.517	740.927
699	3.515249	5	681.928	1676.255	1709.493	1359.528	2556.644	2853.554	3448.428	876.889	4814.671	899.092
700	3.520249	4	1283.090	377.918	2535.630	1087.731	3206.513	1020.490	4427.229	640.619	--undefined--	--undefined--
701	3.525249	5	1262.250	438.497	1305.669	2295.844	2823.910	810.912	3916.826	1056.785	4632.117	745.594
702	3.530249	5	696.989	1088.998	1553.644	620.311	2933.911	543.049	3965.768	774.398	4698.970	578.279
703	3.535249	5	589.418	545.328	1762.819	711.537	2928.916	534.542	4087.096	775.718	4715.615	861.388
704	3.540249	5	628.173	384.737	1819.154	586.245	2898.742	512.343	4021.571	512.199	4732.913	540.613
705	3.545249	5	688.377	452.896	1893.569	504.415	2872.217	730.643	3966.368	617.584	4754.242	599.805
706	3.550249	4	684.727	865.747	1863.198	478.080	3072.814	813.994	4284.284	918.253	--undefined--	--undefined--
707	3.555249	4	870.064	1571.589	1915.266	650.786	3071.585	497.207	4344.645	514.108	--undefined--	--undefined--
708	3.560249	4	715.669	1016.052	1921.536	1018.570	2983.707	711.497	4311.860	768.435	--undefined--	--undefined--
709	3.565249	5	538.915	703.346	1654.071	776.289	2862.318	652.966	4092.557	749.812	4695.947	1379.838
710	3.570249	5	519.960	797.959	1632.304	772.504	2958.424	676.390	4197.659	735.001	4829.369	1637.585
711	3.575249	5	404.623	1425.370	1669.696	829.345	2983.674	1221.108	4031.632	1092.495	4773.878	1260.589
712	3.580249	5	500.941	1539.202	1760.657	798.415	2935.287	2469.372	3588.246	873.540	4711.796	859.295
713	3.585249	5	781.343	746.272	1651.769	937.338	3073.306	1198.841	3463.739	1070.690	4674.758	598.833
714	3.590249	5	688.025	733.913	1642.937	608.670	2995.217	500.760	4128.444	1448.584	4546.448	994.227
715	3.595249	5	679.818	747.894	1716.877	555.696	2852.308	683.810	4006.576	738.563	4751.006	1022.856
716	3.600249	5	816.575	1057.938	1667.444	952.410	2655.353	960.920	3803.559	621.968	4784.270	737.732
717	3.605249	5	945.508	934.518	1613.510	1100.928	2883.314	858.561	3708.410	937.642	4796.073	715.418
718	3.610249	5	910.385	777.871	1564.938	2030.258	2587.612	916.670	3628.440	621.391	4721.994	425.860
719	3.615249	5	443.967	1198.168	1557.327	813.426	2627.228	1015.353	3623.844	631.485	4685.747	356.465
720	3.620249	5	337.737	1079.412	1605.802	527.236	3197.600	580.434	3535.020	3501.098	4500.477	460.367
721	3.625249	5	496.320	863.024	1601.376	388.425	3209.439	641.008	4117.819	2649.733	4491.060	705.360
722	3.630249	5	637.963	781.971	1643.612	417.192	2986.306	867.051	3620.954	871.150	4667.060	329.747
723	3.635249	5	783.682	873.945	1495.668	679.545	2897.331	370.562	3679.295	773.748	4669.956	409.281
724	3.640249	4	1298.966	508.796	2901.718	216.123	3815.098	924.826	4805.548	1159.886	--undefined--	--undefined--
725	3.645249	4	1460.216	542.990	2912.996	371.549	3818.850	1383.708	4658.065	841.376	--undefined--	--undefined--
726	3.650249	4	1335.309	1250.256	2224.894	1472.431	3331.837	993.188	4495.831	807.924	--undefined--	--undefined--
727	3.655249	4	1058.077	994.914	2160.943	724.069	3301.128	694.605	4388.357	557.655	--undefined--	--undefined--
728	3.660249	4	883.991	1081.798	2051.066	849.598	3233.755	812.521	4261.741	626.282	--undefined--	--undefined--
729	3.665249	4	1032.852	956.026	2266.257	1071.761	3453.657	1301.737	4200.305	800.232	--undefined--	--undefined--
730	3.670249	4	1113.675	585.852	2256.899	657.336	3467.079	776.913	4387.409	722.485	--undefined--	--undefined--
731	3.675249	4	1021.974	572.625	2257.434	837.184	3616.849	712.228	4920.045	1099.085	--undefined--	--undefined--
732	3.680249	5	714.747	799.108	1754.101	977.231	2874.097	920.313	3832.642	1476.231	4749.160	1372.254
733	3.685249	5	548.849	869.069	1825.678	680.610	3008.449	734.662	3987.388	1589.924	4580.599	1373.092
734	3.690249	4	1768.883	822.382	2922.762	2376.949	3324.500	847.102	4694.466	872.416	--undefined--	--undefined--
735	3.695249	4	1308.383	773.385	2190.776	1039.153	3410.022	682.842	4648.302	573.374	--undefined--	--undefined--
736	3.700249	4	1340.277	627.715	2251.398	824.210	3493.125	665.480	4681.025	364.152	--undefined--	--undefined--
737	3.705249	4	1340.287	931.986	2217.324	778.110	3495.456	631.957	4693.323	520.817	--undefined--	--undefined--
738	3.710249	5	644.168	1147.632	1911.682	799.132	3213.526	1161.417	3748.520	1965.553	4682.565	746.483
739	3.715249	5	691.744	1315.945	1821.276	701.404	2961.857	968.800	3859.453	1027.263	4714.574	762.179
740	3.720249	5	437.979	2514.902	1600.981	1106.198	2870.244	603.268	3958.606	447.124	4606.667	946.216
741	3.725249	4	1298.183	916.429	2749.494	360.153	3855.639	747.719	4186.239	684.584	--undefined--	--undefined--
742	3.730249	4	1332.184	1025.359	2776.856	493.939	4006.777	458.239	4512.704	1402.404	--undefined--	--undefined--
743	3.735249	4	1289.613	754.030	2665.108	778.507	3987.975	735.118	4500.897	1177.970	--undefined--	--undefined--
744	3.740249	4	1183.970	449.281	2657.329	660.509	3704.598	435.283	4523.192	657.616	--undefined--	--undefined--
745	3.745249	4	1079.412	329.435	2650.378	484.251	3597.668	171.902	4622.732	550.494	--undefined--	--undefined--
746	3.750249	4	1068.965	218.977	2691.694	310.937	3636.363	178.399	4672.286	506.888	--undefined--	--undefined--
747	3.755249	5	1026.844	286.604	1319.724	1967.118	2752.635	278.131	3787.964	247.885	4644.421	646.938
748	3.760249	5	996.797	280.244	1430.707	2445.985	2721.565	230.822	3843.348	217.389	4525.518	738.284
749	3.765249	4	994.679	218.952	2682.977	201.381	3876.900	213.080	4242.145	1034.138	--undefined--	--undefined--
750	3.770249	4	1000.995	226.804	2663.026	274.450	3679.230	1298.758	3937.835	131.836	--undefined--	--undefined--
751	3.775249	4	1039.400	253.772	2691.026	297.540	3827.304	1566.328	3922.373	149.626	--undefined--	--undefined--
752	3.780249	4	1113.250	221.826	2743.810	311.272	3832.142	233.057	4323.368	1155.714	--undefined--	--undefined--
753	3.785249	4	1104.419	145.108	2706.230	224.892	3742.974	206.260	4288.850	700.019	--undefined--	--undefined--
754	3.790249	4	1078.133	140.148	2685.698	201.322	3719.907	231.978	4288.199	585.470	--undefined--	--undefined--
755	3.795249	4	1077.057	159.089	2674.106	329.922	3735.973	320.302	4122.809	683.681	--undefined--	--undefined--
756	3.800249	4	1013.574	101.528	2641.746	245.428	3729.254	371.561	4126.922	583.752	--undefined--	--undefined--
757	3.805249	4	995.052	81.972	2642.794	211.622	3660.660	357.118	4140.860	378.508	--undefined--	--undefined--
758	3.810249	4	991.669	110.382	2652.175	198.257	3689.765	289.765	4162.130	354.075	--undefined--	--undefined--
759	3.815249	4	986.654	115.665	2695.614	115.204	3686.392	302.405	4143.471	325.931	--undefined--	--undefined--
760	3.820249	4	1009.147	109.408	2696.303	94.263	3683.019	319.945	4111.365	315.704	--undefined--	--undefined--
761	3.825249	4	1010.132	90.012	2695.820	157.364	3803.197	456.058	4093.432	343.321	--undefined--	--undefined--
762	3.830249	4	1003.374	97.397	2711.480	143.816	3767.304	554.083	4098.378	282.309	--undefined--	--undefined--
763	3.835249	4	1050.847	111.519	2702.626	132.094	3776.181	451.665	4057.072	428.795	--undefined--	--undefined--
764	3.840249	4	1014.933	127.177	2680.856	152.490	3695.756	312.275	4273.310	662.081	--undefined--	--undefined--
765	3.845249	4	933.295	157.243	2695.901	260.273	3553.272	298.696	4271.430	561.166	--undefined--	--undefined--
766	3.850249	4	977.498	193.141	2674.079	377.293	3521.425	438.828	4104.906	319.330	--undefined--	--undefined--
767	3.855249	4	1027.643	138.660	2648.416	231.455	3730.889	485.766	4171.547	361.399	--undefined--	--undefined--
768	3.860249	4	949.982	258.041	2705.868	208.718	3739.203	253.215	4338.046	325.583	--undefined--	--undefined--
769	3.865249	5	627.639	636.269	1010.065	338.972	2703.917	150.701	3641.885	180.051	4243.445	341.313
770	3.870249	5	641.469	556.385	1031.685	344.416	2677.479	120.355	3608.121	300.848	4160.778	218.260
771	3.875249	5	648.985	446.483	1070.361	300.220	2662.717	97.072	3587.088	356.149	4140.292	167.729
772	3.880249	5	645.149	347.512	1103.419	219.009	2657.503	132.733	3503.808	397.884	4077.704	169.535
773	3.885249	5	645.729	297.555	1119.530	178.221	2648.065	105.146	3488.960	328.983	4079.778	150.605
774	3.890249	5	651.652	270.095	1129.215	170.014	2636.256	74.404	3483.230	239.436	4098.203	134.245
775	3.895249	5	671.129	376.893	1128.248	231.870	2653.976	89.691	3515.122	277.475	4076.092	220.828
776	3.900249	5	684.500	423.193	1123.825	262.806	2661.987	90.934	3528.229	291.296	4057.074	266.300
