frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)
509	2.565249	5	1001.909	688.460	1782.625	307.244	2898.468	499.324	3743.798	573.859	4526.637	205.833	--undefined--	--undefined--
510	2.570249	5	1311.174	1077.216	1620.328	754.421	2777.095	983.587	3642.732	605.943	4536.308	267.322	--undefined--	--undefined--
511	2.575249	5	420.325	1656.675	1449.558	434.656	2510.978	420.840	3684.217	454.507	4480.158	221.974	--undefined--	--undefined--
512	2.580249	5	325.796	1961.020	1431.414	388.682	2562.791	442.848	3699.433	568.082	4495.144	384.293	--undefined--	--undefined--
513	2.585249	6	369.752	1211.750	1630.420	2293.848	1801.485	1179.328	3044.466	1086.331	3905.850	972.524	4731.063	679.901
514	2.590249	5	863.874	747.004	1936.108	496.956	2784.635	720.493	3830.567	587.887	4692.661	683.608	--undefined--	--undefined--
515	2.595249	5	1407.355	719.863	2396.020	774.918	3555.057	3436.762	3764.580	831.802	4677.902	688.469	--undefined--	--undefined--
516	2.600249	5	1385.312	481.007	2398.755	503.913	3457.007	605.828	4476.811	689.571	4775.239	1646.219	--undefined--	--undefined--
517	2.605249	5	1168.075	768.129	2032.608	659.425	2860.334	2017.387	3322.612	642.078	4452.699	398.478	--undefined--	--undefined--
518	2.610249	5	1119.976	774.764	1994.999	562.877	2841.510	970.823	3467.298	1020.746	4407.820	382.959	--undefined--	--undefined--
519	2.615249	5	1153.750	650.467	1957.366	702.338	2825.017	645.748	3813.009	899.293	4415.773	765.273	--undefined--	--undefined--
520	2.620249	5	1153.036	427.750	1852.018	529.586	2896.269	591.913	3831.094	619.725	4473.983	666.483	--undefined--	--undefined--
521	2.625249	5	1283.192	418.434	1995.905	512.415	2980.106	1225.230	3697.865	638.035	4536.940	662.553	--undefined--	--undefined--
522	2.630249	5	1269.979	467.124	2073.471	588.264	2710.221	1503.528	3579.349	598.698	4521.624	650.680	--undefined--	--undefined--
523	2.635249	5	1156.215	296.387	1882.401	807.603	2689.779	1268.399	3446.203	628.067	4429.838	611.324	--undefined--	--undefined--
524	2.640249	5	1135.900	329.255	1711.845	766.030	3079.144	1027.835	3615.212	910.702	4580.739	765.766	--undefined--	--undefined--
525	2.645249	5	1069.009	555.170	1873.581	716.532	3027.236	778.216	3923.693	541.155	4755.340	462.088	--undefined--	--undefined--
526	2.650249	5	964.093	831.186	2006.889	485.722	3108.224	616.745	4047.447	536.886	4823.948	409.432	--undefined--	--undefined--
527	2.655249	6	679.731	928.162	1692.322	2258.092	1902.311	557.081	3089.598	686.250	4029.432	625.317	4812.848	575.841
528	2.660249	5	809.516	566.770	1797.242	377.240	2724.203	504.851	3672.371	473.933	4541.749	490.105	--undefined--	--undefined--
529	2.665249	5	845.411	494.554	1679.544	471.224	2635.867	516.367	3669.171	326.881	4762.664	619.158	--undefined--	--undefined--
530	2.670249	6	665.829	884.409	1485.960	616.785	2269.657	1010.705	3030.294	970.297	3765.308	374.473	4871.427	319.334
531	2.675249	6	530.306	595.648	1588.599	720.107	2289.382	1074.916	3094.172	854.554	3883.371	344.132	4862.080	310.215
532	2.680249	6	571.503	615.196	1646.433	694.213	2285.754	1194.051	3365.896	959.333	3833.087	825.974	4788.884	387.381
533	2.685249	6	679.483	404.781	1582.820	309.582	2385.376	658.425	3563.792	377.984	4164.480	2575.560	4728.793	290.537
534	2.690249	6	722.754	477.449	1513.153	334.104	2369.164	528.878	3609.079	455.577	4206.482	3157.325	4737.161	388.847
535	2.695249	6	754.437	758.625	1397.309	517.393	2252.098	518.751	3396.052	798.550	4240.428	913.264	4881.170	1278.666
536	2.700249	6	889.296	812.849	1327.135	804.816	2114.767	522.141	3217.706	626.839	4171.594	513.627	4967.315	1098.540
537	2.705249	6	500.552	2624.659	1156.617	767.024	1951.805	559.975	3032.756	815.566	4061.745	563.643	4840.612	582.333
538	2.710249	6	580.688	592.581	1690.161	355.496	2469.883	1335.262	2959.831	1354.880	4055.273	396.972	4939.372	556.202
539	2.715249	5	785.965	918.103	1730.926	487.339	2665.815	591.069	3779.129	638.310	4527.996	683.708	--undefined--	--undefined--
540	2.720249	5	803.638	870.836	1694.618	516.571	2579.334	549.879	3681.711	425.648	4596.879	344.624	--undefined--	--undefined--
541	2.725249	6	559.573	593.101	1598.443	285.966	2326.125	649.564	3381.564	659.852	4082.073	826.895	4753.776	405.920
542	2.730249	6	643.590	548.107	1607.721	293.669	2199.868	790.975	3289.890	470.960	4057.577	460.843	4872.060	394.121
543	2.735249	6	729.774	549.392	1674.370	550.560	2096.126	1141.289	3202.997	690.627	3971.376	458.081	4869.368	482.268
544	2.740249	6	697.121	675.850	1678.583	683.505	2080.066	1450.521	3016.430	807.957	3914.751	537.546	4814.965	598.084
545	2.745249	5	830.956	570.281	1740.416	341.724	2872.451	473.277	3809.717	547.259	4648.277	798.422	--undefined--	--undefined--
546	2.750249	6	766.007	516.742	1720.657	366.648	1900.620	6311.279	2896.814	540.840	3856.090	506.036	4693.322	687.011
547	2.755249	6	572.227	432.747	1549.793	410.747	2297.222	1006.461	3169.314	598.512	3990.437	769.755	4670.990	453.252
548	2.760249	6	618.888	516.310	1520.596	477.338	2295.763	1516.693	3004.076	612.854	3836.377	612.281	4685.601	218.818
549	2.765249	5	845.470	699.746	1772.160	520.095	2940.279	499.854	3800.299	782.792	4682.042	367.929	--undefined--	--undefined--
550	2.770249	5	955.896	719.707	1751.804	320.037	2805.193	518.252	3517.173	423.099	4503.208	330.112	--undefined--	--undefined--
551	2.775249	5	814.429	919.148	1728.732	342.322	2691.029	826.724	3465.940	388.356	4462.775	367.215	--undefined--	--undefined--
552	2.780249	5	667.565	850.891	1677.656	458.412	2534.471	1081.200	3410.462	629.475	4428.668	702.330	--undefined--	--undefined--
553	2.785249	5	1055.482	659.477	1810.937	951.757	2813.369	647.928	3733.503	605.427	4736.484	641.726	--undefined--	--undefined--
554	2.790249	5	1047.226	523.669	1965.130	1324.719	2874.991	457.280	3893.612	395.715	4848.639	383.609	--undefined--	--undefined--
555	2.795249	5	1119.478	621.623	2013.385	602.938	3055.515	456.305	3939.239	406.514	4911.470	473.598	--undefined--	--undefined--
556	2.800249	5	1431.453	941.758	1784.979	1038.680	3026.476	478.529	3868.646	442.449	4930.017	437.248	--undefined--	--undefined--
557	2.805249	6	492.757	996.905	1519.948	300.598	2884.793	581.666	2927.976	3161.890	3838.434	545.825	4857.679	609.406
558	2.810249	6	528.638	522.714	1493.045	296.614	2686.973	820.004	3575.963	2157.523	3844.210	756.903	4721.880	1048.422
559	2.815249	6	529.677	408.959	1443.973	444.573	2463.457	795.484	3204.863	952.164	4076.304	562.195	4817.554	985.990
560	2.820249	6	606.208	527.685	1368.096	618.450	2230.762	513.153	3242.590	539.092	4109.999	593.843	4837.348	666.079
561	2.825249	6	635.165	1121.480	1297.392	773.199	1992.423	465.288	3289.395	529.059	4077.078	648.793	4920.051	647.671
562	2.830249	5	1038.377	821.052	1789.163	439.272	2795.801	1224.243	3655.639	575.971	4529.289	688.200	--undefined--	--undefined--
563	2.835249	5	923.195	946.498	1702.891	584.504	2629.784	753.527	3684.362	571.729	4420.908	463.140	--undefined--	--undefined--
564	2.840249	6	787.835	745.069	1354.458	1771.090	1954.346	607.078	3290.111	789.070	4240.713	685.702	4757.522	963.665
565	2.845249	6	700.558	340.270	1665.340	573.914	2200.049	899.204	3300.477	588.232	4037.221	781.447	4913.976	363.815
566	2.850249	6	677.986	609.773	1582.607	685.459	2683.804	1011.962	2934.041	1561.675	3843.735	619.220	4965.560	414.980
567	2.855249	5	1416.680	1267.814	1658.875	1566.585	2825.329	550.434	3976.740	403.078	4919.197	1049.021	--undefined--	--undefined--
568	2.860249	5	1405.082	477.332	1638.681	2561.858	2877.011	334.507	3909.961	361.249	4536.407	883.449	--undefined--	--undefined--
569	2.865249	5	1336.486	884.318	1479.158	851.109	2904.366	284.729	3851.552	261.277	4576.236	573.330	--undefined--	--undefined--
570	2.870249	5	1088.977	595.962	1744.490	507.391	2937.138	423.415	3807.831	275.090	4695.399	389.926	--undefined--	--undefined--
571	2.875249	5	930.499	694.649	1833.515	332.218	2925.659	541.178	3772.488	624.754	4685.251	482.973	--undefined--	--undefined--
572	2.880249	5	1011.108	714.771	1856.819	242.945	2955.861	426.036	3832.703	646.820	4690.361	470.215	--undefined--	--undefined--
573	2.885249	5	1024.269	562.379	1867.957	397.032	2973.856	406.943	3937.483	467.451	4744.182	499.727	--undefined--	--undefined--
574	2.890249	5	990.739	534.535	1896.810	723.689	2849.347	354.314	3946.502	407.089	4532.199	551.059	--undefined--	--undefined--
575	2.895249	5	908.877	650.118	1890.259	484.344	2828.809	280.954	3936.423	414.965	4507.066	476.602	--undefined--	--undefined--
576	2.900249	5	902.831	739.419	1919.072	520.231	2900.126	386.533	3953.158	478.550	4651.433	644.281	--undefined--	--undefined--
577	2.905249	6	747.928	487.963	1548.818	457.006	2805.168	232.524	3827.697	497.201	4251.456	2755.607	4563.894	518.369
578	2.910249	6	702.513	314.786	1545.608	268.816	2816.407	228.150	3782.041	403.856	4092.138	2074.778	4496.222	399.296
579	2.915249	6	790.087	376.395	1524.864	316.401	2756.222	377.497	3746.475	307.463	4134.208	1954.450	4532.559	596.128
580	2.920249	6	826.401	498.440	1498.285	381.722	2775.498	372.649	3778.436	2373.440	3810.680	182.130	4671.793	415.782
581	2.925249	6	901.140	699.427	1397.988	625.953	2761.598	466.932	3237.180	1460.175	3874.941	149.617	4689.178	344.768
582	2.930249	6	922.350	652.922	1382.165	413.756	2681.504	350.727	3440.750	1026.614	3864.736	177.692	4643.843	441.692
583	2.935249	6	880.769	594.531	1458.715	285.609	2721.832	141.307	3810.547	168.228	3948.029	1510.701	4567.169	515.092
584	2.940249	6	947.895	238.390	1539.220	439.278	2703.285	171.316	3813.714	217.904	3900.886	1068.883	4746.085	437.437
585	2.945249	6	939.457	135.796	1569.754	445.249	2639.784	237.741	3653.454	303.348	4043.924	535.483	4818.923	375.173
586	2.950249	6	911.172	208.915	1599.364	273.366	2689.629	150.122	3710.113	165.838	4272.771	611.982	4761.344	818.122
587	2.955249	6	864.115	370.953	1572.792	210.183	2735.578	82.545	3737.260	169.697	4367.157	362.714	5218.321	1850.951
588	2.960249	6	916.396	284.981	1549.846	400.467	2759.729	84.286	3776.036	341.243	4269.738	1730.255	4608.116	462.052
589	2.965249	6	946.179	217.850	1509.059	371.691	2760.192	114.282	3729.955	429.464	3982.484	767.305	4749.579	305.042
590	2.970249	6	974.158	180.607	1502.600	288.084	2708.317	121.603	3739.564	370.405	4006.766	505.265	4797.861	351.389
591	2.975249	6	961.916	150.284	1490.842	293.432	2686.447	98.112	3762.664	212.318	4100.831	436.034	4788.788	567.031
592	2.980249	6	947.398	127.582	1479.710	196.212	2700.037	134.435	3734.621	176.761	4109.152	213.969	4782.075	406.786
593	2.985249	6	936.531	101.855	1485.924	200.438	2756.805	185.793	3691.324	384.349	4094.921	200.618	4757.264	355.673
594	2.990249	6	921.375	137.161	1510.171	281.621	2779.068	154.643	3745.669	373.442	4155.620	629.106	4738.777	507.467
595	2.995249	6	868.368	372.661	1401.262	311.169	2757.674	152.555	3789.270	208.980	4370.286	790.624	4616.049	973.887
596	3.000249	5	562.443	650.533	1415.118	282.029	2706.705	160.868	3855.827	182.773	4444.296	345.254	--undefined--	--undefined--
597	3.005249	5	739.130	974.348	1441.912	481.683	2702.132	121.091	3836.602	124.224	4454.116	163.705	--undefined--	--undefined--
598	3.010249	5	849.020	398.777	1448.234	479.354	2677.211	149.624	3825.304	182.707	4443.749	215.488	--undefined--	--undefined--
599	3.015249	5	805.848	330.323	1426.497	355.666	2677.754	130.113	3860.528	257.713	4433.736	268.997	--undefined--	--undefined--
600	3.020249	6	741.159	278.361	1379.526	284.038	1797.465	2452.320	2704.797	142.103	3842.326	361.646	4521.877	236.718
601	3.025249	6	740.727	208.960	1368.396	233.872	2028.075	1909.836	2704.889	148.080	3764.206	410.941	4499.912	307.447
602	3.030249	6	747.930	167.862	1366.562	194.096	2333.632	1709.584	2705.107	165.268	3862.961	384.892	4284.734	812.312
603	3.035249	6	753.175	153.950	1373.390	174.441	2599.652	1625.350	2696.821	187.428	3833.904	900.215	3997.928	499.780
604	3.040249	6	750.690	136.746	1372.324	150.045	2606.267	1390.221	2691.572	191.445	3598.647	793.877	4038.832	333.393
605	3.045249	6	743.398	131.103	1372.386	141.774	2664.651	990.707	2695.290	253.201	3723.407	640.145	4177.497	598.688
606	3.050249	6	740.476	114.193	1371.752	128.118	2652.990	751.789	2707.069	313.157	3714.883	535.144	4274.896	584.919
607	3.055249	6	740.732	115.681	1378.097	128.958	2643.522	515.902	2735.370	476.666	3716.453	590.432	4213.498	514.729
608	3.060249	6	742.921	96.623	1381.720	107.926	2611.257	361.497	2821.490	525.221	3788.149	563.296	4229.334	633.372
609	3.065249	6	740.893	100.585	1389.670	115.889	2593.389	337.280	2850.076	485.710	3780.838	492.812	4369.183	647.344
610	3.070249	6	741.015	82.901	1386.641	100.789	2606.026	295.738	2838.591	495.612	3797.147	479.451	4372.076	636.552
611	3.075249	6	736.690	87.564	1384.003	114.203	2611.539	354.120	2806.014	468.053	3798.510	569.009	4307.958	609.012
612	3.080249	6	736.814	82.213	1383.093	111.115	2601.828	363.062	2809.101	435.628	3813.407	589.025	4302.613	574.738
613	3.085249	6	734.764	82.166	1384.103	112.973	2584.109	347.558	2827.183	404.004	3817.074	593.612	4314.823	560.783
614	3.090249	6	734.838	81.832	1387.882	120.308	2589.877	303.288	2845.417	440.971	3819.087	583.184	4335.033	742.670
615	3.095249	6	734.234	74.468	1392.228	112.912	2593.102	261.377	2856.859	445.026	3809.399	554.250	4364.522	774.768
616	3.100249	6	733.309	83.898	1401.365	124.307	2590.503	328.840	2824.548	451.650	3762.935	504.178	4362.837	606.563
617	3.105249	6	731.018	73.907	1403.147	106.567	2588.542	294.636	2835.498	455.611	3783.440	472.611	4340.334	584.220
618	3.110249	6	723.893	77.115	1405.398	123.472	2578.585	296.078	2849.583	474.194	3801.867	540.327	4273.237	544.935
619	3.115249	6	724.000	68.838	1403.126	113.834	2586.522	247.658	2882.684	504.608	3832.633	470.909	4305.239	695.136
620	3.120249	6	719.407	74.443	1402.201	122.524	2580.964	227.706	2913.972	493.488	3815.506	434.917	4371.331	726.474
621	3.125249	6	716.909	76.607	1406.593	123.519	2578.957	219.962	2927.651	540.259	3793.313	505.903	4338.704	638.842
622	3.130249	6	710.325	77.481	1409.939	120.456	2570.813	207.795	2935.196	515.274	3775.223	519.388	4340.573	567.021
623	3.135249	6	702.100	88.539	1413.154	130.670	2582.733	200.315	2928.936	576.344	3765.575	508.960	4360.899	600.235
624	3.140249	6	697.232	78.341	1416.096	115.157	2578.792	178.195	2939.478	546.979	3758.300	475.292	4420.064	573.921
625	3.145249	6	687.707	87.770	1421.877	132.740	2573.654	200.882	2943.673	604.419	3674.839	551.263	4477.211	440.944
626	3.150249	6	681.536	77.635	1422.928	119.693	2571.052	186.008	2963.372	572.726	3705.400	569.648	4472.819	466.007
627	3.155249	6	669.336	88.439	1431.007	126.573	2569.510	191.123	2977.847	555.899	3749.042	595.072	4418.371	541.836
628	3.160249	6	659.601	83.563	1438.489	123.156	2571.341	191.173	2972.729	607.851	3704.543	600.573	4430.072	476.728
629	3.165249	6	649.889	78.806	1445.091	121.760	2567.117	190.579	2968.360	610.466	3646.222	590.448	4456.769	385.566
630	3.170249	6	636.519	79.039	1450.060	127.067	2567.920	198.499	3004.297	666.435	3601.975	693.450	4460.317	364.739
631	3.175249	6	627.694	69.611	1457.297	117.375	2562.138	184.084	3051.154	594.108	3611.894	831.820	4445.667	342.908
632	3.180249	6	608.567	76.244	1461.685	130.541	2535.015	203.500	3030.180	422.315	3776.909	936.504	4356.716	320.242
633	3.185249	6	595.902	64.849	1469.138	119.278	2532.207	208.934	3011.277	386.746	3877.881	844.750	4289.563	360.301
634	3.190249	6	568.888	80.393	1478.712	155.784	2541.390	305.940	2957.434	415.142	3893.579	750.554	4212.797	347.502
635	3.195249	6	544.076	68.568	1482.850	146.090	2579.783	320.335	2955.235	503.966	3857.334	732.026	4179.096	285.160
636	3.200249	6	511.186	63.963	1482.021	142.158	2610.186	317.332	2924.801	578.737	3757.462	578.768	4183.767	182.985
637	3.205249	6	487.125	57.047	1476.575	128.990	2636.962	270.951	2917.504	757.935	3720.432	623.972	4157.003	159.385
638	3.210249	6	399.143	136.843	1449.706	210.286	2625.050	269.690	2869.103	1073.144	3579.012	552.797	4093.419	177.077
639	3.215249	6	304.196	193.037	1432.066	165.502	2614.528	161.561	3261.708	838.490	3636.017	1437.334	4032.545	250.515
640	3.220249	5	257.321	133.664	1430.206	192.943	2682.082	146.986	3404.826	765.878	4087.905	308.780	--undefined--	--undefined--
641	3.225249	5	249.068	157.888	1461.282	244.250	2853.819	239.926	3888.535	611.472	4638.695	891.604	--undefined--	--undefined--
642	3.230249	5	243.562	159.625	1460.813	251.915	2708.523	293.426	3700.276	478.711	4584.578	597.240	--undefined--	--undefined--
643	3.235249	6	231.208	100.996	1439.294	334.458	2103.845	4536.924	2672.431	178.377	3883.619	510.669	4622.830	662.994
644	3.240249	6	233.333	91.835	1433.549	329.698	2194.445	3464.916	2674.254	109.119	3931.823	469.594	4758.390	705.944
645	3.245249	6	225.309	83.938	1434.780	292.319	2436.951	5488.115	2651.579	102.116	3897.047	506.500	4828.402	782.618
646	3.250249	6	223.975	81.919	1454.468	554.206	2501.351	4036.950	2636.394	117.340	3914.137	575.734	4790.946	857.216
647	3.255249	6	213.195	68.099	1324.468	445.863	2323.165	1040.340	2784.740	280.500	3942.655	490.032	4712.043	441.019
648	3.260249	6	220.129	82.101	1406.904	608.294	2065.669	1063.750	2913.517	225.693	4070.125	441.537	4753.279	638.937
649	3.265249	6	230.403	122.329	1577.051	626.224	2791.732	457.336	2986.418	2697.132	4346.904	703.966	4574.036	2324.208
650	3.270249	6	245.237	126.014	1403.574	701.669	2597.920	507.609	3394.450	1306.779	4018.864	1307.494	4577.950	758.361
651	3.275249	6	258.474	278.888	1653.198	846.327	2587.825	727.158	3271.338	701.635	3986.837	417.725	4556.961	539.019
652	3.280249	5	1778.787	778.304	2641.088	1068.717	3185.985	764.215	3988.117	366.950	4555.965	512.943	--undefined--	--undefined--
653	3.285249	6	396.782	2116.559	1872.675	708.068	2118.067	3050.509	3075.753	679.668	4038.465	242.162	4623.599	291.943
654	3.290249	5	878.871	952.754	1894.866	435.693	3124.652	872.620	4021.287	215.459	4587.497	130.681	--undefined--	--undefined--
655	3.295249	6	754.055	784.695	1851.495	405.671	3281.273	510.935	3966.534	374.014	4568.421	48.542	4723.280	2964.951
656	3.300249	5	1685.186	1211.061	2969.327	664.229	3616.026	448.879	4551.355	78.302	4573.852	467.691	--undefined--	--undefined--
657	3.305249	5	1525.265	533.303	2720.929	188.619	3657.830	335.704	4445.995	204.301	4575.926	161.210	--undefined--	--undefined--
658	3.310249	5	1589.919	247.516	2710.577	141.774	3794.279	223.845	4452.930	121.036	4639.725	571.111	--undefined--	--undefined--
659	3.315249	5	1579.454	348.068	2708.550	140.740	3826.509	179.030	4394.608	149.483	4824.215	954.066	--undefined--	--undefined--
660	3.320249	5	1538.867	520.443	2692.993	137.170	3778.469	163.779	4329.233	178.561	4889.425	772.966	--undefined--	--undefined--
661	3.325249	5	1639.972	400.666	2696.679	82.909	3751.114	100.494	4340.937	154.735	4900.819	464.837	--undefined--	--undefined--
662	3.330249	5	1681.272	352.689	2709.610	65.269	3711.064	41.363	4313.531	149.225	4815.301	376.434	--undefined--	--undefined--
663	3.335249	6	361.793	560.913	1651.455	382.228	2721.759	46.642	3712.295	39.556	4241.410	194.775	4753.748	404.578
664	3.340249	6	287.683	493.231	1576.644	347.188	2720.345	41.886	3729.936	85.625	4259.088	196.356	4862.501	657.631
665	3.345249	5	1508.140	427.360	2697.769	106.479	3695.468	187.424	4335.261	181.904	4872.039	1140.640	--undefined--	--undefined--
666	3.350249	5	1637.605	279.855	2690.177	118.036	3685.245	110.795	4423.188	235.601	4762.942	1217.036	--undefined--	--undefined--
667	3.355249	6	196.977	385.462	1624.854	201.848	2687.076	52.367	3698.530	78.940	4414.084	207.402	4965.192	1032.536
668	3.360249	6	150.070	516.337	1545.553	172.590	2690.397	33.940	3699.795	125.444	4376.572	88.066	5164.912	1308.890
669	3.365249	4	1481.309	288.472	2695.649	42.157	3723.283	335.724	4393.377	105.806	--undefined--	--undefined--	--undefined--	--undefined--
670	3.370249	5	202.701	743.150	1520.122	467.187	2709.923	98.952	3899.183	404.284	4411.977	165.358	--undefined--	--undefined--
671	3.375249	5	462.587	273.593	1611.979	252.287	2758.943	205.597	3914.850	407.378	4380.696	152.473	--undefined--	--undefined--
672	3.380249	5	384.032	380.209	1615.040	193.670	2825.186	207.683	3886.461	361.331	4398.938	158.624	--undefined--	--undefined--
673	3.385249	5	649.415	1299.842	1676.208	339.606	2852.330	196.692	3873.951	330.468	4400.428	150.628	--undefined--	--undefined--
674	3.390249	5	830.774	817.482	1871.438	444.856	2863.743	274.663	3895.425	562.312	4364.187	212.701	--undefined--	--undefined--
675	3.395249	5	920.364	2612.505	1637.018	676.973	2723.743	641.430	3797.857	782.852	4378.427	373.917	--undefined--	--undefined--
676	3.400249	5	505.377	2990.326	1543.532	407.653	2689.330	526.734	3713.892	563.102	4390.598	344.040	--undefined--	--undefined--
677	3.405249	5	1317.486	715.726	1724.575	1536.129	2634.275	555.058	3755.201	686.451	4315.767	473.082	--undefined--	--undefined--
678	3.410249	5	1306.479	592.189	2076.947	1659.264	2695.024	528.432	4095.819	616.998	4143.084	1543.082	--undefined--	--undefined--
679	3.415249	5	1149.186	981.266	1756.849	602.665	2820.393	238.142	3905.375	589.924	4470.510	785.348	--undefined--	--undefined--
680	3.420249	5	1165.667	1049.395	1771.846	744.596	2737.858	354.967	3822.572	463.292	4557.417	489.193	--undefined--	--undefined--
681	3.425249	5	1222.905	564.742	1969.527	817.950	2750.962	644.772	3771.211	733.015	4612.585	337.283	--undefined--	--undefined--
682	3.430249	5	1139.676	465.486	2016.925	558.631	2808.017	839.351	3648.556	834.186	4594.215	293.341	--undefined--	--undefined--
683	3.435249	5	936.662	589.889	1986.410	397.115	2721.811	899.302	3515.885	438.247	4510.827	208.269	--undefined--	--undefined--
684	3.440249	5	959.764	615.200	2077.548	318.134	2718.681	2158.804	3401.684	394.908	4457.380	260.858	--undefined--	--undefined--
685	3.445249	5	1082.935	646.037	2054.719	389.935	2653.016	3267.472	3449.278	617.993	4405.950	339.746	--undefined--	--undefined--
686	3.450249	5	1121.767	662.266	2002.967	390.502	3512.599	755.119	4289.027	2673.868	4328.756	637.552	--undefined--	--undefined--
687	3.455249	5	1144.465	541.728	1956.364	570.713	3116.043	855.444	3929.642	449.955	4846.359	1225.120	--undefined--	--undefined--
688	3.460249	5	1144.568	1165.671	1874.147	1357.198	2868.879	705.717	3914.334	489.913	4845.841	690.067	--undefined--	--undefined--
689	3.465249	5	855.288	708.983	1924.966	424.129	2887.090	487.333	3827.654	611.386	4672.735	521.575	--undefined--	--undefined--
690	3.470249	5	905.122	472.397	1915.358	220.826	2842.213	396.985	3754.974	447.366	4633.637	341.281	--undefined--	--undefined--
691	3.475249	5	1047.860	469.323	1877.950	306.648	2914.374	435.684	3780.589	617.584	4694.961	444.603	--undefined--	--undefined--
692	3.480249	5	1069.653	733.013	1810.972	528.360	3091.160	666.082	3968.077	1204.448	4697.628	592.963	--undefined--	--undefined--
693	3.485249	6	638.173	570.188	1486.805	470.412	2511.315	1557.386	3364.787	777.816	4437.733	2792.250	4547.677	495.257
694	3.490249	6	594.063	503.531	1365.614	361.744	2724.749	951.454	3387.141	714.135	4383.543	793.226	5050.133	2392.175
695	3.495249	6	547.148	611.038	1327.262	432.671	2388.860	754.560	3340.653	574.507	3997.757	811.841	4851.682	552.178
696	3.500249	6	571.574	795.870	1391.763	829.869	2201.938	805.264	3141.766	712.334	3911.271	578.859	4805.861	298.860
697	3.505249	6	513.214	319.526	1498.446	435.710	2423.958	643.460	3147.281	585.179	4142.094	614.370	4809.634	450.044
698	3.510249	6	528.447	324.477	1558.566	550.666	2429.227	711.691	3316.505	603.293	4258.471	926.934	4863.958	813.507
699	3.515249	5	955.938	882.149	1806.958	776.949	2816.202	1017.304	3560.857	665.090	4671.286	740.857	--undefined--	--undefined--
700	3.520249	5	1222.490	321.972	2008.146	1030.893	2917.230	676.439	3745.260	1244.251	4494.860	649.567	--undefined--	--undefined--
701	3.525249	5	1234.813	360.258	1965.620	1434.147	2929.532	716.414	3989.457	799.669	4703.781	678.771	--undefined--	--undefined--
702	3.530249	5	1068.739	631.598	1764.777	589.849	2935.091	363.603	3865.495	549.902	4627.120	460.769	--undefined--	--undefined--
703	3.535249	5	740.099	654.958	1874.671	571.046	2942.350	405.848	4011.358	645.498	4692.889	726.119	--undefined--	--undefined--
704	3.540249	6	635.647	436.548	1866.024	3558.760	1883.803	675.089	2975.065	503.360	4063.895	383.932	4791.639	417.683
705	3.545249	6	681.002	481.123	1938.557	584.522	1983.672	2700.467	3007.551	715.675	4038.426	472.529	4822.997	462.285
706	3.550249	5	786.364	880.434	1863.153	413.206	2935.278	840.884	3643.143	1260.516	4439.230	740.997	--undefined--	--undefined--
707	3.555249	5	698.653	1501.418	1342.814	3292.585	1906.071	677.828	3077.473	501.937	4345.759	506.351	--undefined--	--undefined--
708	3.560249	5	613.298	761.761	1660.922	979.045	2522.812	1348.422	3085.982	854.942	4331.318	660.092	--undefined--	--undefined--
709	3.565249	6	499.761	433.943	1523.489	546.074	2651.871	764.937	3344.907	1248.761	4251.176	639.104	5100.741	1956.799
710	3.570249	6	479.656	554.566	1494.549	659.688	2449.608	1366.744	3102.581	724.979	4184.840	524.165	4936.988	920.398
711	3.575249	5	1106.329	769.611	1968.862	621.430	3119.420	551.656	4071.567	449.562	4932.872	529.399	--undefined--	--undefined--
712	3.580249	5	1116.879	762.207	1956.536	516.316	3170.482	619.377	3954.014	586.537	4870.595	503.928	--undefined--	--undefined--
713	3.585249	6	742.522	700.356	1590.807	866.585	2873.229	1394.316	3418.160	858.219	4056.412	5520.600	4653.356	611.356
714	3.590249	6	617.634	491.683	1552.381	462.495	2759.713	1315.633	3099.809	727.498	4375.355	716.919	4864.283	1883.266
715	3.595249	6	598.469	420.213	1583.787	408.612	2469.275	809.129	3196.803	825.554	4124.043	538.784	4899.791	772.866
716	3.600249	6	639.442	549.367	1516.399	481.389	2405.371	585.411	3369.443	862.624	4006.338	664.487	4888.695	584.908
717	3.605249	6	742.952	667.143	1504.731	609.230	2608.085	834.115	3372.723	891.371	4059.159	1362.176	4840.969	754.584
718	3.610249	6	654.486	651.651	1311.563	642.707	2379.909	519.416	3282.486	574.826	3992.017	637.222	4818.200	305.590
719	3.615249	6	441.520	568.313	1413.004	482.899	2276.196	609.890	3239.598	591.421	3975.150	641.560	4769.608	273.800
720	3.620249	6	397.855	428.148	1458.990	376.098	2190.650	821.404	3216.955	342.174	4265.021	724.120	4665.052	680.727
721	3.625249	6	461.603	563.092	1529.478	412.166	2064.061	1307.597	3223.763	417.569	4174.239	658.345	4790.347	693.150
722	3.630249	5	837.747	945.281	1697.241	414.114	2974.640	645.692	3674.986	714.923	4666.162	310.988	--undefined--	--undefined--
723	3.635249	5	1022.170	644.741	1693.107	739.805	2899.056	288.104	3660.663	584.371	4642.555	380.091	--undefined--	--undefined--
724	3.640249	6	431.207	1584.490	1314.560	480.885	2903.236	227.538	3026.677	2847.148	3879.899	893.547	4866.963	1026.506
