frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)
38	0.210249	5	560.862	661.623	1588.117	705.665	2828.565	736.449	3585.616	1375.642	4531.611	506.961	--undefined--	--undefined--
39	0.215249	5	1073.778	688.240	1734.301	807.675	2850.848	729.892	3605.438	1040.096	4590.571	464.035	--undefined--	--undefined--
40	0.220249	6	480.445	1525.822	1398.118	728.502	2210.469	1091.090	3127.948	701.700	4082.283	798.243	4696.015	640.703
41	0.225249	6	360.945	800.614	1554.070	439.757	2482.967	727.052	3270.816	564.392	4067.153	650.729	4691.736	749.937
42	0.230249	6	307.177	719.284	1514.920	449.324	2393.482	655.845	3357.962	366.528	4044.556	796.978	4800.079	509.441
43	0.235249	6	221.363	1207.898	1375.905	776.659	2286.238	708.679	3311.673	682.066	3923.257	738.859	4897.172	352.830
44	0.240249	5	962.440	439.958	2158.845	904.288	2799.343	652.970	3926.328	406.308	4838.737	290.836	--undefined--	--undefined--
45	0.245249	6	765.578	957.351	1038.105	728.148	2402.162	606.344	3073.788	894.096	4052.479	584.396	4745.233	282.503
46	0.250249	5	1274.261	691.508	2471.489	642.746	3199.666	1126.708	4014.294	946.340	4698.553	477.033	--undefined--	--undefined--
47	0.255249	5	230.942	1166.596	1667.550	513.288	2805.655	699.272	3640.871	818.969	4451.706	646.308	--undefined--	--undefined--
48	0.260249	5	548.492	722.891	1643.005	393.634	2866.356	780.182	3451.082	837.406	4360.452	429.674	--undefined--	--undefined--
49	0.265249	6	551.145	442.776	1497.711	415.539	2629.119	1057.269	3105.206	741.584	4320.365	522.789	5255.429	1843.833
50	0.270249	5	1196.019	639.415	1876.265	1063.108	2871.345	558.105	3745.205	1040.007	4519.809	619.640	--undefined--	--undefined--
51	0.275249	5	1194.462	400.125	1983.826	514.384	2901.061	375.757	3705.296	583.651	4508.198	504.187	--undefined--	--undefined--
52	0.280249	5	1185.342	460.298	2200.113	586.129	2828.284	333.335	3914.410	851.496	4419.030	602.315	--undefined--	--undefined--
