frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)	F7(Hz)	B7(Hz)	F8(Hz)	B8(Hz)
12	0.080249	8	382.177	484.425	1068.685	798.760	2057.462	457.340	2144.124	1271.118	2907.997	203.724	3716.766	281.130	4358.188	326.389	5132.401	661.070
13	0.085249	8	406.355	368.027	1391.732	650.149	1674.023	2392.108	2093.032	408.183	2981.796	412.662	3670.411	445.545	4380.563	440.571	5158.809	758.574
14	0.090249	8	447.599	408.141	1384.654	1581.184	1515.572	634.933	2245.084	413.958	3311.806	718.445	3607.593	678.346	4567.604	658.881	4961.304	964.707
15	0.095249	8	329.347	852.830	939.440	667.598	1775.100	589.246	2288.219	400.318	3247.998	551.596	3606.313	647.109	4385.868	513.121	4925.930	361.236
16	0.100249	8	438.579	829.970	1135.224	728.182	2032.130	450.081	2087.778	2805.891	2844.190	471.891	3501.550	602.069	4239.849	287.206	4938.094	296.358
17	0.105249	8	542.435	304.158	1249.078	369.756	1949.572	504.831	2780.708	547.634	2833.293	1306.827	3633.423	756.463	4249.388	343.923	4930.172	319.485
18	0.110249	8	541.761	313.731	1176.090	494.767	1803.798	770.341	2387.060	453.687	3014.728	469.931	3821.297	296.820	4385.563	563.842	4939.211	411.588
19	0.115249	8	545.955	421.262	1008.624	517.309	1807.690	393.967	2315.795	409.387	3010.404	380.672	3813.096	195.451	4407.670	395.812	4940.167	298.952
20	0.120249	8	429.784	450.251	1034.270	463.763	1799.491	293.845	2316.980	319.102	3070.453	489.868	3786.318	305.325	4367.797	312.232	4958.511	331.964
21	0.125249	8	267.545	691.854	1033.753	515.450	1809.960	540.463	2310.617	431.272	3034.222	391.709	3805.486	470.388	4283.719	380.717	4927.305	360.242
22	0.130249	7	887.494	641.250	1552.226	932.677	2073.125	484.054	2879.912	302.709	3693.399	481.145	4253.442	205.275	4959.268	260.214	--undefined--	--undefined--
23	0.135249	7	570.797	415.563	1381.787	365.500	2082.737	346.130	2773.979	263.213	3671.618	371.780	4332.903	222.102	4917.091	260.216	--undefined--	--undefined--
24	0.140249	8	481.971	207.920	1320.806	340.540	2149.767	652.617	2403.845	3123.789	2830.033	407.271	3793.876	640.096	4476.397	859.996	4751.061	437.259
25	0.145249	8	480.724	151.656	1262.383	238.977	2095.786	565.142	2923.925	450.009	3039.060	3481.348	3807.220	990.709	4405.978	1708.209	4756.896	366.968
26	0.150249	8	486.837	199.148	1228.565	279.841	2054.927	393.443	2266.283	4713.730	2913.805	544.181	3637.132	497.810	4444.022	730.955	4848.264	572.503
27	0.155249	7	505.525	458.437	1183.382	451.332	1954.451	340.867	2739.251	334.500	3589.936	311.371	4057.613	710.791	4731.747	287.021	--undefined--	--undefined--
28	0.160249	7	441.376	343.060	1237.047	426.835	1928.713	236.189	2712.764	269.840	3609.887	365.759	4086.655	647.216	4734.075	310.366	--undefined--	--undefined--
29	0.165249	7	424.772	263.756	1362.355	343.243	1949.525	318.547	2666.484	410.149	3689.821	269.071	4315.975	1294.439	4582.873	433.426	--undefined--	--undefined--
30	0.170249	8	424.148	930.579	1169.091	2302.864	1448.735	529.788	2179.341	668.912	2833.021	1141.918	3674.642	251.354	4415.014	337.001	4978.077	570.432
31	0.175249	8	266.368	651.713	1063.275	264.501	1744.811	304.398	2492.198	337.056	3449.891	404.387	3992.521	1049.044	4367.418	625.326	4938.939	650.552
32	0.180249	7	301.227	904.423	1059.238	293.245	1734.359	339.256	2544.901	370.227	3365.940	244.748	4115.256	356.262	4784.754	414.717	--undefined--	--undefined--
33	0.185249	7	479.113	779.799	991.585	533.180	1670.040	259.338	2539.891	481.371	3279.988	305.070	4100.082	618.625	4802.458	469.109	--undefined--	--undefined--
34	0.190249	8	416.331	626.569	901.179	534.512	1659.273	230.949	2496.886	620.917	3200.379	418.522	3775.056	947.987	4633.091	404.609	5229.709	1275.424
35	0.195249	7	250.192	987.118	898.192	414.027	1706.970	369.459	2366.259	655.323	3187.041	205.932	3905.712	533.619	4696.776	271.058	--undefined--	--undefined--
36	0.200249	8	260.926	835.075	965.890	562.799	1920.846	667.048	2267.999	1066.308	3104.251	385.218	3910.420	841.573	4469.904	855.592	4972.940	858.530
37	0.205249	7	447.372	300.073	1240.090	357.699	2132.021	368.252	2906.517	352.864	3801.040	762.045	4164.085	1483.993	4599.006	578.145	--undefined--	--undefined--
38	0.210249	7	438.297	221.449	1218.349	328.470	1975.745	415.124	2892.982	340.988	3814.658	699.832	3891.767	2275.274	4611.949	330.228	--undefined--	--undefined--
