frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)	F7(Hz)	B7(Hz)	F8(Hz)	B8(Hz)
637	3.205249	7	509.751	76.620	1489.734	85.483	2562.518	786.972	2664.187	262.186	3302.593	494.578	4016.745	230.575	4311.956	320.233	--undefined--	--undefined--
638	3.210249	7	468.143	196.060	1471.261	134.282	2475.971	943.285	2631.689	241.348	3289.605	478.616	3941.874	325.272	4222.042	389.928	--undefined--	--undefined--
639	3.215249	7	335.918	292.088	1440.790	129.835	2610.566	173.038	2689.335	1607.467	3285.971	719.788	4002.209	1249.465	4020.507	275.140	--undefined--	--undefined--
640	3.220249	8	236.992	113.177	763.706	556.253	1476.331	79.631	2609.675	123.933	2994.219	442.756	3574.443	708.304	4058.426	183.209	4934.194	370.700
641	3.225249	8	226.883	86.499	774.042	471.935	1485.776	112.586	2466.462	603.558	2913.853	247.074	3682.393	586.755	4164.493	393.194	4924.546	337.246
642	3.230249	8	223.939	91.549	779.897	598.684	1487.358	163.337	2455.611	742.186	2783.129	331.230	3641.956	280.817	4294.761	398.436	4917.806	420.232
643	3.235249	8	222.973	86.236	785.525	827.317	1488.762	208.251	2649.431	235.668	2661.363	933.824	3657.630	656.734	4143.323	367.697	4867.955	305.513
644	3.240249	8	227.512	97.676	746.906	900.157	1492.528	171.556	2623.491	136.191	2941.677	634.435	4011.835	278.392	4149.232	2359.749	4871.203	370.386
645	3.245249	7	222.405	92.226	742.578	1112.043	1478.636	177.554	2613.449	119.891	2961.895	689.131	3951.558	292.566	4795.957	533.911	--undefined--	--undefined--
646	3.250249	7	222.046	79.490	890.624	1425.495	1524.653	455.311	2619.728	134.687	2913.849	961.084	3907.562	341.858	4651.754	483.914	--undefined--	--undefined--
647	3.255249	7	213.741	78.774	924.759	1899.162	1407.001	398.598	2472.525	523.833	2859.208	294.731	3917.299	348.440	4667.868	372.726	--undefined--	--undefined--
648	3.260249	7	221.821	87.168	1391.546	501.127	2099.381	797.690	2884.835	3979.842	2913.975	194.360	4008.145	463.581	4626.748	612.051	--undefined--	--undefined--
649	3.265249	7	229.674	118.836	1433.101	1474.078	1659.419	693.202	2729.046	407.831	3208.867	883.184	4209.750	588.316	4677.378	922.922	--undefined--	--undefined--
650	3.270249	8	238.534	118.079	822.753	1001.537	1558.101	490.362	2503.646	394.617	2963.102	610.912	3640.199	460.003	4305.909	309.658	4940.622	360.360
651	3.275249	8	248.088	145.290	1113.521	689.467	1908.040	610.449	2592.233	538.559	3155.691	484.583	3784.426	411.103	4226.625	353.047	4807.166	438.027
652	3.280249	8	237.249	470.358	1294.766	640.695	1983.661	452.290	2706.524	514.549	3223.449	506.462	3878.223	405.123	4247.174	439.990	4798.098	474.659
653	3.285249	7	696.196	1142.124	1624.318	785.906	2059.641	643.418	2912.725	514.413	3526.720	644.110	4070.753	163.964	4613.356	165.783	--undefined--	--undefined--
654	3.290249	7	652.262	447.062	1599.048	516.376	2070.158	510.518	2972.202	638.151	3689.672	529.216	4096.776	161.163	4596.721	57.752	--undefined--	--undefined--
655	3.295249	7	603.569	258.470	1605.235	382.398	2133.696	625.048	3259.341	486.628	3767.013	971.279	4036.656	432.783	4571.334	40.054	--undefined--	--undefined--
656	3.300249	7	545.941	268.638	1622.360	244.500	2640.605	299.607	3321.076	285.754	3841.393	376.450	4535.679	74.623	4645.044	306.982	--undefined--	--undefined--
657	3.305249	7	443.786	739.998	1626.796	252.371	2684.573	96.950	3416.562	369.354	3937.540	414.271	4470.931	100.066	4636.247	170.279	--undefined--	--undefined--
658	3.310249	7	411.321	725.020	1646.757	94.667	2679.432	68.191	3357.220	561.748	3849.928	167.990	4417.385	89.589	4636.239	189.458	--undefined--	--undefined--
659	3.315249	7	341.025	559.358	1647.124	95.386	2671.883	63.848	3272.182	583.089	3835.876	126.549	4333.591	134.622	4621.931	229.547	--undefined--	--undefined--
660	3.320249	7	388.321	989.823	1645.736	155.052	2669.155	59.163	3392.064	841.729	3777.237	190.652	4280.515	197.676	4631.964	344.109	--undefined--	--undefined--
661	3.325249	7	528.903	725.048	1672.994	104.857	2674.899	33.163	3660.262	926.470	3733.709	222.440	4360.660	264.550	4725.155	687.353	--undefined--	--undefined--
662	3.330249	7	497.633	472.141	1681.505	79.018	2687.716	24.208	3702.097	111.869	3705.961	763.988	4370.718	209.957	4837.805	609.256	--undefined--	--undefined--
663	3.335249	7	456.746	330.649	1634.841	110.523	2704.529	23.575	3694.015	857.443	3712.485	101.023	4340.977	291.073	4787.152	797.836	--undefined--	--undefined--
664	3.340249	7	567.740	474.003	1593.188	163.450	2709.848	39.004	3124.585	1413.631	3730.875	103.914	4244.740	256.206	4626.722	614.808	--undefined--	--undefined--
665	3.345249	7	815.773	775.347	1616.365	360.493	2694.845	84.224	3333.820	2876.605	3679.528	203.662	4340.287	221.295	4514.695	1207.947	--undefined--	--undefined--
666	3.350249	7	964.751	879.196	1745.454	241.241	2694.445	78.004	3549.135	1194.969	3691.476	104.819	4388.769	141.041	4906.597	376.290	--undefined--	--undefined--
667	3.355249	7	968.167	1047.275	1730.114	207.498	2696.094	28.370	3690.814	50.531	4143.819	2342.719	4372.347	169.076	4936.921	512.054	--undefined--	--undefined--
668	3.360249	6	1120.755	946.674	1639.185	226.934	2694.384	16.944	3673.706	90.262	4365.441	120.622	4476.612	1066.703	--undefined--	--undefined--	--undefined--	--undefined--
669	3.365249	7	886.481	815.348	1612.847	361.498	1735.800	2771.050	2700.149	22.388	3644.476	182.824	4355.245	139.733	4573.443	690.415	--undefined--	--undefined--
670	3.370249	7	939.536	448.885	1727.258	217.454	2705.724	37.967	3730.839	387.055	3935.546	1593.491	4365.613	145.541	5069.937	671.414	--undefined--	--undefined--
671	3.375249	8	370.483	882.443	671.606	563.938	1677.616	118.799	2732.465	90.767	3762.234	413.245	3850.044	1691.813	4343.509	127.534	5096.349	708.924
672	3.380249	7	643.974	330.975	1639.818	102.334	2232.119	2787.747	2795.597	120.137	3739.326	275.824	4332.154	133.118	4900.737	634.533	--undefined--	--undefined--
673	3.385249	7	697.824	323.531	1668.051	237.017	1949.438	1266.209	2834.853	102.285	3726.123	200.660	4320.480	117.002	4854.925	533.115	--undefined--	--undefined--
674	3.390249	7	648.359	370.985	1499.031	477.022	2071.919	345.571	2868.714	125.187	3706.701	280.407	4299.652	128.051	4842.854	604.701	--undefined--	--undefined--
675	3.395249	7	578.250	919.708	1503.883	389.153	2211.999	485.253	2903.935	313.616	3743.063	269.066	4329.187	160.717	4956.313	437.207	--undefined--	--undefined--
676	3.400249	7	1054.498	704.262	1624.032	279.548	2540.037	427.641	3047.019	655.137	3738.918	306.757	4338.614	180.501	4981.560	422.591	--undefined--	--undefined--
677	3.405249	7	823.652	487.237	1498.261	346.479	2281.221	603.383	2764.492	478.804	3642.402	436.067	4227.914	310.702	4877.873	773.355	--undefined--	--undefined--
678	3.410249	7	814.391	429.664	1482.250	263.703	2302.527	360.837	2844.126	302.172	3720.058	511.216	4224.486	401.132	5000.543	953.636	--undefined--	--undefined--
679	3.415249	7	996.271	773.447	1663.870	454.322	2366.202	909.593	2860.588	205.745	3765.092	336.588	4324.414	300.457	5058.427	412.588	--undefined--	--undefined--
680	3.420249	7	1095.059	526.090	1767.075	398.900	2715.717	764.323	2735.539	505.054	3748.646	280.228	4363.529	269.062	4975.935	327.921	--undefined--	--undefined--
681	3.425249	7	588.737	1282.496	1330.615	293.877	2087.917	305.432	2806.373	265.728	3660.100	365.755	4498.489	411.961	4810.811	747.698	--undefined--	--undefined--
682	3.430249	7	713.101	491.707	1358.692	213.705	2104.963	142.285	2849.339	199.868	3627.725	305.860	4502.895	975.871	4581.342	301.636	--undefined--	--undefined--
683	3.435249	7	724.156	492.666	1413.700	579.261	2080.214	234.398	2849.600	408.112	3547.582	286.400	4500.049	210.644	4582.530	1644.724	--undefined--	--undefined--
684	3.440249	7	979.871	467.113	2061.134	402.701	2123.765	1020.169	3245.702	1022.766	3454.139	441.528	4431.619	190.608	5247.216	625.417	--undefined--	--undefined--
685	3.445249	8	267.667	606.348	1104.313	383.242	1944.852	382.600	2369.055	756.275	3424.270	454.697	3981.589	2099.398	4375.528	345.532	5097.097	1284.605
686	3.450249	6	1114.383	496.386	1924.566	339.187	2512.404	783.909	3477.026	357.111	4140.642	394.445	4656.823	638.411	--undefined--	--undefined--	--undefined--	--undefined--
687	3.455249	7	1004.710	789.958	1228.469	811.320	1942.648	428.673	2767.676	572.625	3512.516	436.770	4054.288	292.992	4892.542	591.886	--undefined--	--undefined--
688	3.460249	7	768.731	497.158	1436.723	483.737	2122.750	536.220	2832.828	357.373	3606.079	509.042	4124.248	450.395	4927.514	457.908	--undefined--	--undefined--
689	3.465249	8	303.383	1038.598	951.635	563.624	1891.858	309.161	2752.250	541.000	3306.377	1038.571	3966.921	713.331	4733.197	525.566	4938.356	2735.832
690	3.470249	7	238.110	793.393	968.216	369.954	1888.512	171.534	2683.547	615.721	3078.991	792.196	3841.089	405.321	4638.904	269.417	--undefined--	--undefined--
691	3.475249	7	787.421	688.699	1302.313	486.836	1946.140	197.158	2838.643	248.362	3487.620	461.109	4085.105	485.406	4730.326	247.900	--undefined--	--undefined--
692	3.480249	7	734.645	465.399	1366.931	304.320	1952.453	227.538	2859.651	303.286	3476.817	381.014	4202.735	467.966	4747.227	363.186	--undefined--	--undefined--
693	3.485249	7	635.649	441.074	1389.851	385.526	1955.140	688.215	2915.069	622.583	3539.045	576.912	4515.429	500.279	4584.845	1300.762	--undefined--	--undefined--
694	3.490249	8	499.564	376.866	1175.389	741.260	1420.848	488.093	2472.730	620.324	3129.219	411.692	3712.614	449.423	4415.698	381.543	5106.926	682.382
695	3.495249	8	478.787	372.996	1273.738	398.683	1468.468	1275.784	2326.671	488.054	3158.385	365.500	3767.230	366.980	4570.773	532.747	5037.803	834.324
696	3.500249	7	464.392	424.794	1208.348	509.983	1904.850	740.729	2412.485	844.442	3162.535	510.504	3886.730	393.688	4754.541	278.717	--undefined--	--undefined--
697	3.505249	7	504.657	307.492	1411.317	544.915	1921.157	764.673	2660.259	401.331	3338.927	365.224	4195.867	315.725	4845.880	305.273	--undefined--	--undefined--
698	3.510249	7	545.077	316.435	1439.991	567.988	1993.620	614.888	2709.735	414.703	3432.805	276.255	4256.355	333.230	4956.297	398.386	--undefined--	--undefined--
699	3.515249	7	511.478	565.096	1264.614	355.363	1973.544	272.964	2789.950	284.135	3494.347	250.230	4224.742	501.522	4863.760	512.251	--undefined--	--undefined--
700	3.520249	7	819.446	844.589	1292.110	238.081	2072.054	376.800	2839.346	280.154	3507.053	416.480	4283.940	419.278	4816.360	677.170	--undefined--	--undefined--
701	3.525249	7	956.641	373.599	1387.487	241.691	2178.494	364.671	2922.471	267.586	3663.820	425.238	4301.878	458.724	4867.059	552.205	--undefined--	--undefined--
702	3.530249	7	906.566	740.678	1396.533	751.594	1937.297	631.484	2920.614	260.719	3719.680	510.341	4388.268	737.353	4769.312	700.632	--undefined--	--undefined--
703	3.535249	7	537.348	627.679	1146.021	831.301	1941.994	400.693	2854.022	371.045	3349.359	699.528	4076.248	322.169	4696.704	302.086	--undefined--	--undefined--
704	3.540249	7	561.031	436.528	1063.033	936.894	1917.197	414.286	2814.892	468.753	3348.478	765.524	4100.240	287.232	4771.849	324.613	--undefined--	--undefined--
705	3.545249	8	527.300	468.462	1018.681	604.347	1893.844	307.568	2605.004	597.415	3218.140	690.516	4072.138	545.441	4255.090	1227.754	4906.272	396.648
706	3.550249	8	474.551	449.962	1228.522	605.154	1923.348	303.012	2477.304	2463.038	2864.486	472.608	3602.953	482.923	4362.051	338.654	5114.692	476.231
707	3.555249	8	394.141	791.869	1145.396	687.799	1885.158	384.407	2713.529	689.567	3248.373	507.105	3559.306	3644.864	4299.985	321.332	5106.612	634.104
708	3.560249	7	465.337	523.934	1141.211	645.483	1872.115	485.859	2630.086	453.740	3243.023	430.623	4113.610	488.736	4666.024	588.561	--undefined--	--undefined--
709	3.565249	8	451.242	309.628	1342.253	719.060	1770.212	1120.688	2498.073	1864.160	2814.258	608.169	3660.917	683.386	4308.289	407.990	5072.528	707.529
710	3.570249	8	415.434	380.723	1186.140	699.584	1775.387	698.414	2765.284	1798.466	2871.281	681.593	3593.156	819.729	4283.405	334.240	5041.810	421.095
711	3.575249	7	1068.950	466.867	1859.901	378.717	2746.124	671.694	3416.646	602.434	3812.179	3891.792	4187.145	335.355	4999.179	309.605	--undefined--	--undefined--
712	3.580249	8	213.314	687.268	1074.280	379.842	1836.603	309.322	2547.288	821.130	3206.072	937.759	3578.020	617.399	4254.666	382.687	4993.021	212.220
713	3.585249	8	478.475	435.104	1076.697	400.893	1758.783	390.789	2631.315	588.606	3283.003	1030.906	3470.153	574.820	4365.219	438.082	4964.357	399.003
714	3.590249	8	536.185	408.176	1264.094	820.208	1695.424	568.015	2782.513	570.085	3324.624	616.468	3513.967	3078.873	4300.869	459.197	4981.067	708.057
715	3.595249	7	631.487	305.746	1489.395	267.023	2112.662	420.095	2846.149	357.243	3573.795	468.841	4231.691	348.366	4968.838	505.581	--undefined--	--undefined--
716	3.600249	7	643.788	330.108	1417.702	233.135	2110.993	294.609	2786.671	300.124	3577.499	257.862	4212.155	312.406	4961.044	331.869	--undefined--	--undefined--
717	3.605249	7	729.748	391.824	1413.386	291.866	2149.306	400.623	2875.974	288.721	3550.908	284.325	4316.013	380.625	5009.550	375.875	--undefined--	--undefined--
718	3.610249	7	624.825	438.942	1292.876	343.914	2197.721	363.349	2880.588	449.757	3553.130	345.525	4261.073	413.441	4894.228	215.369	--undefined--	--undefined--
719	3.615249	8	391.626	369.118	1255.290	623.153	1599.773	887.800	2274.204	582.920	3014.730	564.823	3609.886	390.018	4323.782	336.611	4877.392	162.587
720	3.620249	8	367.191	239.276	1288.411	466.837	1739.974	574.778	2529.383	828.994	3250.065	311.859	4212.003	630.085	4665.274	599.764	5273.049	3340.444
721	3.625249	7	391.496	265.344	1176.724	459.835	1677.571	282.039	2519.391	586.480	3258.875	246.988	4044.564	380.832	4667.554	373.392	--undefined--	--undefined--
722	3.630249	7	424.888	873.322	1080.084	705.677	1728.548	294.952	2698.820	550.741	3309.856	431.150	3965.356	482.835	4673.285	187.098	--undefined--	--undefined--
723	3.635249	7	527.709	1222.525	1128.817	504.334	1811.964	478.173	2829.130	233.078	3357.734	484.313	3990.895	542.898	4679.777	257.749	--undefined--	--undefined--
724	3.640249	8	304.507	900.496	1146.507	476.062	1617.802	649.139	2871.580	261.600	3005.007	996.183	3646.509	957.201	4216.810	605.600	5033.650	456.313
725	3.645249	8	189.100	891.465	1207.013	471.999	1777.815	647.212	2453.181	1662.414	2905.279	230.173	3595.573	497.408	4369.287	409.002	5010.489	444.831
726	3.650249	8	228.167	1452.009	964.387	946.781	1671.697	684.916	2464.454	896.068	2941.927	1064.947	3537.708	539.400	4368.789	399.817	5037.456	646.970
727	3.655249	8	202.999	1121.264	939.260	564.724	1713.541	550.529	2349.836	477.982	3110.907	583.665	3623.029	505.387	4376.448	233.632	5097.031	416.463
728	3.660249	8	236.311	865.956	1030.641	385.582	1939.223	373.150	2422.130	1782.398	2895.367	517.025	3618.658	451.058	4304.048	284.953	5086.151	427.729
729	3.665249	7	999.978	482.289	1847.811	690.886	2606.081	812.516	2909.241	1947.802	3541.455	614.552	4195.114	385.094	4977.457	551.704	--undefined--	--undefined--
730	3.670249	7	971.298	379.312	1577.773	695.323	2310.806	481.687	3154.722	921.365	3643.601	717.098	4382.819	538.814	5072.076	1078.350	--undefined--	--undefined--
731	3.675249	8	424.774	511.635	1069.855	212.769	1823.503	429.680	2378.978	521.366	3046.160	450.288	3737.587	218.011	4596.781	333.101	5441.304	815.362
732	3.680249	7	453.022	209.316	1149.749	265.156	1897.151	416.900	2407.795	771.793	2979.052	315.449	3755.826	293.406	4558.461	360.117	--undefined--	--undefined--
733	3.685249	8	384.402	286.691	1139.009	399.290	1886.198	385.523	2423.223	749.432	3045.269	303.250	3782.236	422.369	4437.935	578.830	5040.031	608.028
734	3.690249	8	277.246	355.678	1096.809	311.607	1811.802	282.023	2394.357	443.226	3104.582	255.870	3726.861	363.805	4384.666	442.204	5009.800	265.308
735	3.695249	8	325.065	381.047	1124.332	235.152	1762.199	311.243	2375.797	469.068	3052.718	411.047	3643.745	295.458	4448.256	265.402	5015.656	324.557
736	3.700249	8	264.826	499.221	1121.907	292.517	1732.413	307.572	2424.195	353.892	3236.267	646.440	3645.105	561.061	4542.627	389.255	4932.120	533.879
737	3.705249	7	777.516	1514.237	1340.198	746.355	2123.276	600.846	2783.521	1179.215	3489.290	557.148	4331.471	1061.660	4794.173	549.864	--undefined--	--undefined--
738	3.710249	7	661.922	383.800	1520.715	289.617	2202.458	270.241	3010.142	337.694	3668.963	433.492	4422.584	478.998	4984.018	601.756	--undefined--	--undefined--
739	3.715249	7	686.668	380.912	1593.993	210.720	2285.227	268.131	3058.977	275.783	3760.205	337.998	4443.513	387.121	5039.148	502.008	--undefined--	--undefined--
740	3.720249	7	677.179	489.652	1694.748	324.752	2770.698	448.681	2897.982	1039.092	3767.506	318.355	4291.877	309.428	5046.735	600.767	--undefined--	--undefined--
741	3.725249	8	552.116	287.823	1282.333	839.132	1823.397	441.968	2758.467	137.922	3370.574	748.818	3800.069	295.968	4307.295	207.345	5161.008	569.390
742	3.730249	8	468.417	306.322	1196.557	567.150	1802.891	388.954	2743.859	164.323	3311.065	1219.591	3739.513	305.639	4285.913	210.418	5182.931	634.574
743	3.735249	8	421.452	263.408	1215.294	386.921	1670.885	648.409	2539.155	400.746	3087.477	905.998	3705.303	423.430	4295.419	261.888	5054.342	470.085
744	3.740249	7	669.943	430.137	1311.203	205.172	2265.382	698.497	2719.536	413.616	3557.567	232.384	4146.861	351.752	4816.053	548.803	--undefined--	--undefined--
745	3.745249	7	899.809	376.820	1270.625	464.978	2213.112	817.053	2738.013	256.752	3551.548	89.093	4107.163	377.484	4843.694	325.256	--undefined--	--undefined--
746	3.750249	7	1020.316	152.341	1616.046	500.716	2678.448	111.077	3550.306	196.818	3928.869	687.429	4546.871	2763.074	4796.516	446.386	--undefined--	--undefined--
747	3.755249	8	486.485	979.594	957.759	176.903	1527.272	239.467	2676.332	60.243	3419.314	286.929	3925.207	255.902	4499.191	1376.200	4838.749	531.817
748	3.760249	8	269.660	1517.115	895.476	141.378	1512.729	198.438	2672.352	46.758	3456.718	432.172	3966.022	370.373	4032.920	789.877	4907.554	436.414
749	3.765249	8	514.443	954.702	933.347	175.118	1580.828	314.913	2671.941	37.046	3488.334	302.597	3945.794	157.841	4294.651	965.928	4921.014	825.530
750	3.770249	8	606.335	608.421	962.802	224.816	1641.482	314.201	2675.170	41.764	3501.686	247.243	3961.589	89.372	4242.583	1006.045	5186.231	954.969
751	3.775249	8	654.709	545.815	1023.188	362.924	1623.176	503.484	2694.002	72.195	3558.815	450.880	3963.508	170.346	4086.786	1038.887	5163.815	687.528
752	3.780249	8	666.398	413.694	1202.441	249.034	1721.546	1409.878	2725.233	179.864	3375.354	1178.671	3784.608	247.350	4166.379	463.869	5033.880	581.952
753	3.785249	7	876.402	455.703	1210.080	214.446	2636.845	166.975	3111.404	700.508	3744.834	165.899	4198.550	427.649	4918.474	656.616	--undefined--	--undefined--
754	3.790249	7	952.435	229.637	1289.654	312.977	2654.956	110.323	3223.190	1221.308	3691.133	295.212	4102.152	573.360	4718.560	874.536	--undefined--	--undefined--
755	3.795249	7	941.935	171.071	1362.046	287.465	2670.516	135.283	2732.803	1614.467	3575.804	182.863	3988.101	167.257	4692.156	458.140	--undefined--	--undefined--
756	3.800249	7	927.094	129.207	1292.853	343.413	2636.221	106.163	2779.357	1658.771	3554.074	208.595	4002.753	160.685	4696.123	463.234	--undefined--	--undefined--
757	3.805249	8	935.694	193.771	1121.552	571.158	1424.621	1793.292	2632.922	77.380	3457.639	333.287	3908.017	469.973	4153.921	455.977	5015.307	616.284
758	3.810249	8	832.119	232.081	1111.007	280.290	1904.349	1406.697	2643.470	98.677	3446.650	432.865	3820.861	283.788	4245.013	284.210	5110.410	744.166
759	3.815249	7	883.169	209.435	1168.423	454.306	2546.446	1729.438	2697.924	81.458	3599.601	281.403	4009.028	317.258	4398.126	504.043	--undefined--	--undefined--
760	3.820249	7	923.451	201.410	1208.898	401.727	2687.524	75.075	2839.188	1234.639	3600.810	301.023	3996.780	253.256	4450.864	462.207	--undefined--	--undefined--
761	3.825249	7	943.281	183.729	1184.973	404.091	2659.387	136.611	3045.177	860.326	3872.657	303.485	4066.735	1230.132	4233.673	445.531	--undefined--	--undefined--
762	3.830249	7	903.638	166.207	1232.136	373.507	2706.005	111.631	3085.044	1191.716	3847.495	271.216	3927.192	2050.035	4233.690	248.946	--undefined--	--undefined--
763	3.835249	7	899.850	273.304	1216.872	387.346	1377.796	3403.670	2710.237	71.154	3603.863	1167.491	3787.575	299.109	4219.865	356.283	--undefined--	--undefined--
764	3.840249	7	925.651	182.582	1278.683	412.618	2657.059	92.654	3185.285	1212.745	3648.719	395.841	4073.415	545.585	4749.004	867.366	--undefined--	--undefined--
765	3.845249	7	776.729	189.628	1171.287	257.918	2628.292	169.731	2998.267	916.360	3497.474	246.810	4058.417	330.311	4733.878	520.716	--undefined--	--undefined--
766	3.850249	7	721.515	335.448	1163.230	255.536	2620.314	252.698	3015.440	1353.348	3467.719	416.534	4014.320	376.158	4420.749	617.985	--undefined--	--undefined--
767	3.855249	7	717.558	419.883	1153.352	144.692	2609.924	129.803	3197.946	796.938	3608.708	2207.461	3831.498	241.321	4302.604	173.325	--undefined--	--undefined--
768	3.860249	6	720.044	260.731	1175.366	189.820	2646.323	61.420	3461.657	522.526	3762.123	399.637	4285.436	213.646	--undefined--	--undefined--	--undefined--	--undefined--
769	3.865249	7	709.532	241.974	1154.410	190.285	2652.291	71.630	3502.987	277.560	3713.795	2853.687	3973.849	410.058	4527.769	893.984	--undefined--	--undefined--
770	3.870249	7	676.710	260.699	1121.939	182.643	2650.074	141.365	2695.075	1088.696	3533.064	257.405	4075.592	175.248	4649.308	720.081	--undefined--	--undefined--
771	3.875249	7	662.144	237.996	1117.465	152.622	2639.873	119.842	2676.986	1342.664	3513.783	397.646	4090.684	188.804	4522.965	1059.585	--undefined--	--undefined--
772	3.880249	7	650.704	225.601	1114.401	131.338	2216.513	1536.900	2642.075	136.639	3373.872	374.776	4004.252	201.427	4394.779	790.369	--undefined--	--undefined--
773	3.885249	7	643.428	199.217	1121.883	106.126	2408.745	1438.959	2636.955	134.320	3395.426	385.042	3992.029	252.892	4330.759	556.687	--undefined--	--undefined--
774	3.890249	8	590.331	2611.498	632.742	172.388	1124.818	96.865	2621.797	125.781	2654.102	1194.078	3475.831	378.967	4086.591	565.115	4157.213	413.290
775	3.895249	7	635.804	133.966	1128.248	71.157	2191.694	1149.491	2633.638	103.283	3337.837	478.911	3755.131	494.915	4123.026	283.765	--undefined--	--undefined--
776	3.900249	7	632.931	114.029	1129.865	61.304	2213.704	1030.626	2638.963	96.443	3325.443	401.640	3799.031	420.108	4110.306	361.258	--undefined--	--undefined--
777	3.905249	7	631.164	113.168	1133.048	58.048	2351.871	1130.334	2631.258	116.914	3343.452	472.045	3738.604	527.046	4174.934	339.687	--undefined--	--undefined--
778	3.910249	8	585.500	3095.134	628.132	100.443	1133.123	55.962	2616.861	149.891	2697.513	781.906	3439.889	322.070	3932.600	487.342	4276.180	375.023
779	3.915249	7	631.848	99.378	1138.597	56.015	2613.037	200.608	2682.503	646.735	3437.309	349.905	3932.917	409.276	4266.168	421.431	--undefined--	--undefined--
780	3.920249	7	634.951	84.887	1136.540	48.708	2592.034	185.613	2755.981	643.534	3464.614	374.199	3961.377	514.853	4256.143	487.847	--undefined--	--undefined--
781	3.925249	7	634.767	89.722	1136.505	50.959	2566.845	182.676	2848.891	586.425	3505.374	429.528	4013.999	911.575	4205.939	484.483	--undefined--	--undefined--
782	3.930249	7	640.372	79.839	1136.071	42.504	2561.809	179.260	2851.869	685.887	3385.658	1277.554	3625.822	440.561	4191.959	301.198	--undefined--	--undefined--
783	3.935249	7	639.723	84.429	1139.675	47.039	2560.669	192.699	2750.042	813.050	3185.527	758.652	3702.253	339.659	4201.378	229.362	--undefined--	--undefined--
784	3.940249	7	637.780	87.326	1145.464	60.630	2557.945	216.131	2725.874	793.283	3209.242	729.679	3720.568	360.531	4212.631	273.782	--undefined--	--undefined--
785	3.945249	7	636.886	74.997	1147.975	62.749	2539.152	181.217	2831.186	561.640	3470.791	766.465	3755.565	582.015	4237.753	349.126	--undefined--	--undefined--
786	3.950249	7	636.548	84.775	1156.967	80.569	2518.436	159.850	2840.381	406.894	3437.497	421.855	3970.456	385.345	4341.056	420.693	--undefined--	--undefined--
787	3.955249	7	639.012	77.077	1158.680	83.040	2523.241	138.617	2860.003	440.787	3474.495	457.738	3990.747	519.621	4286.748	504.669	--undefined--	--undefined--
788	3.960249	7	638.593	80.295	1166.303	100.690	2516.200	142.260	2875.778	492.525	3530.858	533.284	3862.981	880.008	4229.702	410.395	--undefined--	--undefined--
789	3.965249	7	636.489	89.353	1172.234	122.906	2504.658	134.303	2852.931	379.033	3503.417	427.625	3865.013	440.657	4380.975	333.560	--undefined--	--undefined--
790	3.970249	8	486.781	2094.791	628.249	88.788	1181.524	114.862	2493.228	121.545	2844.863	309.361	3481.200	358.969	3864.353	330.603	4404.867	241.376
791	3.975249	8	436.667	2128.375	621.467	94.349	1187.679	99.555	2478.923	129.194	2845.769	310.880	3464.949	364.122	3888.250	356.394	4383.639	217.797
792	3.980249	8	474.558	2163.440	615.192	85.335	1197.191	82.820	2476.265	117.490	2859.803	313.427	3474.485	406.130	3873.023	383.494	4384.351	223.185
793	3.985249	8	432.267	2377.123	603.262	90.102	1212.361	92.220	2470.336	123.161	2873.767	325.530	3506.142	475.435	3839.741	496.851	4376.259	246.442
794	3.990249	8	593.324	84.804	658.803	2038.854	1234.756	99.880	2464.482	107.416	2897.538	318.351	3496.247	436.667	3907.525	553.631	4361.590	198.619
795	3.995249	8	581.943	79.332	696.483	1994.346	1258.662	118.632	2452.805	106.491	2914.459	311.011	3467.184	459.541	3941.001	546.521	4353.099	174.033
796	4.000249	7	573.856	76.274	1287.852	109.762	2444.429	159.678	2932.354	342.033	3504.501	557.526	3882.449	892.942	4307.965	190.572	--undefined--	--undefined--
797	4.005249	7	562.906	66.291	1300.435	79.933	2430.488	212.556	2942.925	363.870	3455.863	1343.372	3649.774	542.973	4269.891	166.489	--undefined--	--undefined--
798	4.010249	7	541.548	75.325	1316.725	65.477	2437.641	336.699	2867.723	600.011	3168.909	831.761	3704.898	451.877	4210.280	158.005	--undefined--	--undefined--
799	4.015249	7	504.888	76.407	1322.056	60.543	2500.354	347.180	2759.635	1073.017	3095.522	584.365	3647.611	378.513	4167.102	160.133	--undefined--	--undefined--
800	4.020249	7	463.684	75.646	1326.374	76.155	2424.889	1865.300	2523.033	238.306	3066.153	379.231	3564.535	299.202	4087.314	212.896	--undefined--	--undefined--
801	4.025249	8	270.088	2544.934	440.920	85.034	1343.550	65.702	2484.204	190.694	2973.246	350.342	3469.609	338.924	3975.740	388.571	4869.362	1137.914
802	4.030249	7	364.234	172.572	1366.827	103.812	2437.168	298.893	3014.003	496.305	3383.945	760.633	3852.560	876.974	4816.669	579.074	--undefined--	--undefined--
803	4.035249	7	242.834	94.887	1320.898	120.934	2250.813	766.755	2579.709	376.003	3136.122	237.769	3834.447	515.482	4763.497	457.953	--undefined--	--undefined--
