frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)	F7(Hz)	B7(Hz)	F8(Hz)	B8(Hz)	F9(Hz)	B9(Hz)	F10(Hz)	B10(Hz)	F11(Hz)	B11(Hz)	F12(Hz)	B12(Hz)
26	0.150249	12	414.140	129.823	796.168	503.067	1253.302	406.459	1452.124	684.996	2094.849	267.490	2421.862	1033.459	2855.345	305.704	3355.028	353.233	3753.416	248.209	4291.163	206.030	4744.104	160.566	5199.848	313.705
27	0.155249	12	332.477	249.851	739.686	364.517	1171.982	331.409	1638.765	476.770	2035.967	243.820	2668.424	231.294	3126.887	507.470	3640.633	208.355	3938.515	1478.477	4207.239	403.342	4747.858	182.755	5321.672	676.622
28	0.160249	12	317.290	339.837	631.029	382.647	1204.961	270.879	1666.375	409.416	2001.583	171.622	2665.556	150.816	3124.592	630.337	3573.831	351.460	3944.747	368.907	4597.896	476.027	4752.725	608.733	5202.579	812.943
29	0.165249	11	420.772	286.115	745.756	1520.517	1418.468	980.508	1434.865	360.757	2003.724	179.796	2621.943	165.667	3270.621	505.736	3695.743	326.195	3953.078	429.553	4513.839	156.218	4967.642	299.438	--undefined--	--undefined--
30	0.170249	11	283.240	241.844	849.088	260.838	1410.898	210.715	1789.423	652.528	2062.696	309.278	2590.799	211.025	3270.201	256.729	3701.250	153.174	4126.404	391.312	4493.277	175.331	4990.647	229.343	--undefined--	--undefined--
31	0.175249	12	247.173	247.680	914.345	258.656	1290.024	434.025	1799.009	848.797	1898.075	376.675	2569.273	148.918	3334.216	180.808	3787.146	309.386	4152.964	4089.664	4280.247	418.682	4599.149	433.458	5104.029	328.260
32	0.180249	11	519.265	445.811	999.196	248.500	1359.555	401.009	1814.513	263.515	2290.330	756.970	2614.528	218.411	3310.808	130.404	3756.679	453.035	4137.916	284.121	4650.240	244.052	5154.389	276.997	--undefined--	--undefined--
33	0.185249	11	436.470	460.756	922.508	290.191	1458.389	388.838	1764.143	282.910	2533.626	384.332	2652.605	1029.995	3246.344	226.140	3751.418	524.144	4262.869	438.459	4788.237	340.166	5249.083	592.154	--undefined--	--undefined--
34	0.190249	12	297.903	304.173	773.244	313.561	1143.140	766.287	1611.142	456.961	1764.844	400.769	2494.514	283.363	3035.649	385.862	3319.724	352.708	3831.397	362.632	4439.610	331.368	4767.402	316.384	5261.843	449.007
35	0.195249	12	243.845	375.544	789.451	282.586	1195.102	531.546	1759.009	343.104	1839.472	1074.592	2415.492	439.357	3093.703	618.203	3218.591	235.303	3874.520	301.118	4440.538	637.074	4706.693	258.362	5261.617	470.684
36	0.200249	11	358.900	577.639	832.685	375.661	1269.185	363.208	1836.729	233.231	2270.919	238.992	2843.404	228.538	3241.373	177.857	3816.197	264.061	4296.263	351.882	4705.866	397.801	5175.571	407.275	--undefined--	--undefined--
