frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)	F7(Hz)	B7(Hz)	F8(Hz)	B8(Hz)	F9(Hz)	B9(Hz)	F10(Hz)	B10(Hz)	F11(Hz)	B11(Hz)	F12(Hz)	B12(Hz)
457	2.305249	11	428.165	402.910	519.467	134.756	1512.127	794.507	1763.579	77.916	2331.955	720.614	2617.269	107.020	2915.009	767.798	3305.577	378.306	3794.757	154.963	4235.502	153.093	4605.634	468.835	--undefined--	--undefined--
458	2.310249	11	474.533	555.520	487.091	110.297	1530.044	815.162	1759.252	78.473	2335.885	640.286	2619.584	96.255	3001.896	658.336	3330.057	412.849	3792.553	160.246	4225.230	181.009	4586.558	380.006	--undefined--	--undefined--
459	2.315249	11	459.315	690.647	472.384	79.697	1527.783	862.349	1754.270	78.697	2349.202	733.545	2612.450	91.781	3083.448	659.492	3348.054	546.075	3805.224	217.423	4237.169	236.253	4587.014	477.318	--undefined--	--undefined--
460	2.320249	11	446.925	845.373	464.450	57.155	1605.924	852.182	1739.346	89.676	2348.214	823.827	2609.309	87.795	3052.163	634.521	3376.397	498.394	3825.506	206.053	4251.796	208.810	4583.721	529.079	--undefined--	--undefined--
461	2.325249	11	397.553	751.636	452.933	53.376	1620.337	678.391	1723.390	130.260	2329.791	777.428	2607.171	85.104	2971.640	561.004	3382.435	371.509	3834.425	179.048	4232.037	164.061	4526.785	386.143	--undefined--	--undefined--
462	2.330249	11	364.253	533.431	447.624	52.573	1647.947	635.786	1699.218	120.807	2330.066	807.963	2600.441	80.341	2913.727	514.346	3384.304	306.204	3860.037	145.495	4231.455	143.883	4501.808	394.967	--undefined--	--undefined--
463	2.335249	11	248.367	201.311	471.505	46.137	1444.964	439.406	1696.779	114.978	2236.972	473.359	2586.565	97.171	2923.994	577.370	3306.289	387.991	3873.415	146.401	4209.939	957.723	4274.248	164.904	--undefined--	--undefined--
464	2.340249	12	214.121	92.916	505.417	62.533	1424.532	320.094	1708.213	198.198	2202.443	469.703	2508.254	119.456	3000.152	347.910	3321.447	434.494	3859.431	133.213	4184.669	1009.809	4303.573	208.969	5345.058	572.737
465	2.345249	11	209.739	30.564	542.455	176.951	1344.035	509.593	1703.480	103.170	2259.060	420.529	2552.140	140.722	3094.140	273.050	3460.842	837.600	3851.010	131.495	4296.848	234.619	4915.792	298.727	--undefined--	--undefined--
466	2.350249	11	223.810	20.192	618.204	262.359	1387.104	349.812	1734.427	58.053	2244.639	198.454	2629.973	48.649	3100.529	283.337	3771.564	171.267	3938.560	434.188	4472.640	411.115	5003.873	351.901	--undefined--	--undefined--
467	2.355249	11	219.797	17.391	623.997	272.418	1288.077	557.600	1731.259	67.263	2196.306	380.184	2621.180	37.097	3146.166	274.397	3748.419	200.261	4152.279	300.862	4730.018	1501.902	4819.723	550.482	--undefined--	--undefined--
468	2.360249	12	212.202	15.279	599.057	170.187	1136.031	419.682	1736.091	70.837	2016.901	549.826	2624.254	39.877	3027.571	1390.285	3087.159	382.050	3796.833	206.080	4231.445	188.354	4824.524	325.569	5397.471	618.185
469	2.365249	12	206.911	14.227	566.335	96.470	1086.053	336.754	1729.772	82.503	1907.463	445.514	2619.673	45.617	2796.132	425.870	3349.102	250.670	3825.249	129.748	4276.668	204.650	4714.589	382.598	5217.290	256.083
470	2.370249	12	199.983	18.443	555.006	74.367	1097.040	469.519	1705.814	62.513	1970.101	493.806	2629.985	50.200	2708.417	512.244	3346.330	158.689	3821.926	93.217	4264.872	254.961	4695.635	288.817	5279.894	336.347
471	2.375249	12	200.568	27.576	554.008	78.592	1252.439	817.603	1695.777	67.975	2298.921	1061.707	2309.950	843.177	2627.426	49.028	3367.843	258.144	3806.727	123.480	4212.499	432.293	4730.540	214.941	5249.955	481.661
472	2.380249	12	198.967	44.689	520.475	81.087	1184.774	377.196	1688.042	57.642	2170.009	372.675	2603.979	80.912	2920.149	1062.393	3435.040	567.230	3815.411	174.569	4208.485	539.293	4685.477	246.728	5067.678	414.333
473	2.385249	12	174.908	114.104	488.845	102.533	1146.646	271.518	1668.889	77.937	2133.827	440.158	2573.989	146.773	2836.731	487.367	3433.653	342.205	3822.764	249.300	4326.725	355.024	4595.084	358.795	5114.864	253.280
474	2.390249	12	224.743	235.431	475.140	324.443	1128.143	481.517	1702.504	191.040	2018.333	936.181	2595.250	81.289	2959.907	868.050	3332.969	333.195	3764.339	379.104	4356.653	301.481	4617.671	521.488	5079.011	355.302
475	2.395249	12	255.253	119.884	651.200	441.549	1388.891	671.261	1731.383	937.029	1894.507	485.998	2612.313	123.128	3190.535	367.974	3578.838	659.046	3953.967	589.706	4363.832	358.174	4717.131	354.232	5029.457	355.037
476	2.400249	12	307.701	251.044	839.535	313.680	1370.911	335.768	1868.128	408.842	2279.293	587.486	2726.270	425.185	3197.729	480.510	3601.303	556.505	4065.914	524.102	4408.424	399.752	4747.197	389.498	5036.248	410.196
477	2.405249	12	446.882	123.620	906.469	222.507	1349.251	230.869	1824.468	207.328	2309.747	416.763	2787.771	313.597	3278.054	390.761	3704.064	463.923	4205.951	364.056	4588.759	357.476	5008.890	294.318	5072.533	1882.889
478	2.410249	11	445.388	80.429	907.841	173.375	1352.107	173.539	1817.353	132.136	2323.283	407.373	2756.056	227.535	3307.315	288.141	3719.221	334.994	4225.558	200.107	4621.600	238.286	5037.886	117.115	--undefined--	--undefined--
479	2.415249	11	421.748	106.597	892.472	228.549	1355.113	208.680	1821.143	128.518	2423.133	765.839	2669.336	204.212	3362.168	330.286	3778.256	413.646	4318.563	121.087	4633.882	245.855	5036.736	110.140	--undefined--	--undefined--
480	2.420249	12	417.842	121.719	904.431	318.153	1384.077	306.918	1814.300	127.927	2631.613	91.819	2772.298	1506.306	3314.455	394.829	3849.712	286.322	4351.853	98.580	4678.220	264.340	5035.187	153.799	5150.679	1775.813
481	2.425249	11	489.881	267.253	1185.269	436.408	1779.778	123.894	1840.170	1689.507	2620.264	58.887	3233.269	510.036	3582.555	806.065	3835.214	165.085	4377.837	128.992	4735.019	108.288	5042.931	153.833	--undefined--	--undefined--
482	2.430249	12	153.873	428.817	752.117	421.013	1365.425	426.599	1831.883	227.148	2621.088	62.856	2807.664	1318.809	3405.476	314.748	3786.896	109.911	4408.032	465.297	4521.450	744.310	4729.140	173.911	5071.326	267.361
483	2.435249	11	550.603	601.805	1055.569	421.198	1783.038	202.522	2041.861	1087.990	2633.285	92.838	3334.790	437.108	3779.101	185.418	3965.398	1914.285	4484.758	322.692	4546.364	88.403	4977.006	194.409	--undefined--	--undefined--
484	2.440249	11	440.675	321.376	1078.685	210.237	1763.696	92.656	2268.056	1009.901	2649.680	83.195	3107.749	704.525	3653.576	502.347	3923.993	543.446	4454.234	94.548	4555.359	65.761	4979.667	192.581	--undefined--	--undefined--
485	2.445249	10	458.077	457.760	1132.092	365.412	1747.158	106.412	2656.710	94.924	2714.737	460.469	3639.476	698.299	3745.753	346.590	4415.910	108.218	4529.024	71.699	4970.477	155.460	--undefined--	--undefined--	--undefined--	--undefined--
486	2.450249	11	374.418	671.788	1000.009	566.204	1716.188	62.354	2550.168	2999.294	2638.421	648.613	2654.933	55.405	3647.818	262.123	3860.001	721.728	4424.149	109.891	4567.163	129.019	4971.113	162.299	--undefined--	--undefined--
487	2.455249	11	130.657	305.449	1087.879	455.934	1727.055	29.429	2625.776	698.775	2638.989	47.820	3566.283	233.921	3806.513	1506.996	4260.053	387.853	4547.363	120.983	4853.252	506.084	5136.651	388.924	--undefined--	--undefined--
488	2.460249	11	209.538	325.480	1104.919	407.634	1738.591	27.209	2104.066	1340.560	2646.702	76.160	2953.750	980.336	3581.299	239.771	4102.754	276.595	4493.518	123.485	4831.584	193.120	5128.216	181.084	--undefined--	--undefined--
489	2.465249	11	173.733	453.553	1061.906	466.947	1730.044	29.399	1988.746	766.074	2662.551	104.085	3099.786	651.072	3666.249	273.356	4106.992	307.079	4458.251	148.493	4804.639	166.032	5093.106	79.225	--undefined--	--undefined--
490	2.470249	11	193.174	610.056	1024.421	358.584	1718.439	20.351	1963.625	525.841	2670.179	58.871	3089.324	528.955	3683.309	92.054	4217.889	330.356	4500.517	727.497	4683.835	164.145	5055.912	45.031	--undefined--	--undefined--
491	2.475249	11	51.611	140.990	922.693	309.481	1706.893	14.536	1956.006	782.351	2693.816	48.906	2744.027	1695.243	3330.569	710.126	3693.011	96.022	4309.690	131.051	4671.498	117.703	5031.182	54.383	--undefined--	--undefined--
492	2.480249	10	917.823	329.820	1695.246	19.366	1701.937	1609.148	2297.328	544.373	2722.802	41.954	3417.125	226.059	3804.582	202.386	4283.662	137.397	4627.880	203.143	5024.827	141.791	--undefined--	--undefined--	--undefined--	--undefined--
493	2.485249	11	343.462	720.604	1042.882	397.472	1714.583	33.260	1735.329	2351.396	2257.113	449.921	2732.585	55.975	3398.881	145.693	3858.866	186.403	4277.750	214.571	4618.300	320.900	4963.889	278.051	--undefined--	--undefined--
494	2.490249	11	323.415	513.562	1037.897	391.800	1674.014	1647.685	1724.842	44.532	2290.369	668.977	2735.836	68.230	3454.592	138.277	3807.400	206.730	4181.955	252.355	4626.437	146.540	4957.322	128.990	--undefined--	--undefined--
495	2.495249	11	370.016	460.778	924.793	196.774	1703.733	69.048	1788.133	570.440	2605.467	520.448	2745.236	49.859	3559.518	181.283	3819.428	225.605	4233.835	379.274	4661.608	116.825	4964.694	179.269	--undefined--	--undefined--
496	2.500249	11	373.962	748.569	921.714	136.978	1680.294	57.431	2056.428	610.187	2736.545	1347.287	2741.756	28.023	3496.272	459.999	3808.017	165.867	4338.877	327.419	4745.927	101.794	5232.560	353.078	--undefined--	--undefined--
497	2.505249	12	95.493	175.709	923.663	237.615	1105.290	1051.561	1689.974	155.574	2120.122	292.039	2741.139	17.842	3301.436	170.242	3772.442	1929.614	3852.801	91.893	4381.657	198.236	4738.589	117.494	5234.481	243.762
498	2.510249	12	136.924	161.023	853.052	270.963	1248.478	537.876	1845.923	261.136	2175.738	365.716	2750.886	32.839	3297.094	162.561	3883.545	150.978	4164.043	3588.295	4444.176	148.333	4710.632	211.934	5277.086	473.595
499	2.515249	11	482.944	387.877	945.996	293.083	1519.907	383.155	1917.500	252.820	2378.887	467.570	2751.016	47.668	3381.337	150.686	4043.337	331.590	4482.343	185.521	4548.274	1058.772	4767.282	259.164	--undefined--	--undefined--
500	2.520249	11	510.898	314.033	934.718	210.033	1566.542	208.875	1899.366	210.914	2392.836	457.446	2723.989	46.456	3392.336	195.545	3881.370	583.626	4255.670	177.155	4609.116	192.559	4896.248	243.525	--undefined--	--undefined--
501	2.525249	11	347.745	1204.254	898.504	191.471	1670.373	165.607	1956.074	1435.895	2072.719	569.331	2730.896	66.187	3255.239	576.452	3780.334	379.902	4258.315	214.203	4725.186	390.879	4911.999	462.933	--undefined--	--undefined--
502	2.530249	11	210.657	892.147	914.850	141.904	1656.924	92.046	1835.536	2481.943	2129.872	380.578	2755.344	125.073	3192.453	606.650	3781.458	293.957	4183.432	376.495	4572.654	292.618	4968.521	315.442	--undefined--	--undefined--
503	2.535249	11	586.413	715.372	969.234	340.704	1681.278	88.840	2096.947	401.531	2750.755	239.288	3081.413	464.744	3708.553	1175.831	3892.955	144.424	4421.310	229.230	4849.583	973.019	5017.197	236.316	--undefined--	--undefined--
504	2.540249	12	62.826	228.586	747.013	223.630	1203.308	290.466	1705.904	58.866	2176.245	493.159	2761.011	153.629	3048.284	456.263	3643.437	1210.154	3921.457	66.215	4424.507	184.194	4727.253	788.568	5030.252	193.335
505	2.545249	12	126.240	184.126	799.292	141.105	1292.468	215.143	1713.098	43.053	2299.457	310.041	2830.178	112.184	3152.180	1847.601	3322.906	749.459	3915.072	63.332	4466.182	155.510	4727.385	549.654	5084.955	362.841
506	2.550249	12	144.484	179.905	757.887	228.750	1367.185	310.803	1715.202	49.947	2239.722	4284.386	2310.022	246.892	2837.972	82.563	3375.424	347.583	3897.094	57.699	4453.144	97.838	4730.974	258.508	5091.979	316.772
507	2.555249	11	610.512	455.403	1198.715	672.500	1696.629	111.382	2154.755	384.101	2295.320	2129.782	2796.484	57.804	3381.358	211.266	3919.942	54.999	4452.134	114.051	4702.368	236.192	5110.530	282.789	--undefined--	--undefined--
508	2.560249	11	465.424	480.481	992.912	352.920	1708.465	224.175	2022.873	381.000	2451.306	1194.632	2816.661	105.207	3380.706	191.607	3956.639	126.272	4474.003	251.455	4563.800	259.159	5140.686	269.980	--undefined--	--undefined--
509	2.565249	10	828.825	495.756	1193.362	691.832	1705.634	269.320	2076.720	417.417	2801.977	195.272	3378.081	250.151	3716.812	2091.006	3976.675	226.185	4526.429	83.191	5096.169	341.310	--undefined--	--undefined--	--undefined--	--undefined--
510	2.570249	11	622.878	362.374	1212.925	338.330	1602.410	295.171	2031.722	509.472	2450.323	470.391	2951.046	336.321	3442.368	236.593	3930.713	225.398	4459.051	690.800	4553.523	135.179	5175.841	239.533	--undefined--	--undefined--
511	2.575249	12	161.786	486.353	615.385	332.475	1181.301	231.302	1575.802	227.048	2015.579	454.253	2483.137	150.996	3022.919	386.782	3501.714	393.771	3889.647	292.090	4450.510	359.945	4543.527	265.213	5238.573	304.696
512	2.580249	12	119.455	560.462	617.146	421.498	1209.375	280.063	1609.295	300.036	1975.035	760.396	2523.637	148.828	3146.903	486.264	3513.160	557.115	3972.563	319.085	4505.370	189.065	5031.483	1978.716	5102.158	462.848
513	2.585249	11	416.184	754.312	764.611	347.161	1338.896	320.542	1826.898	227.909	2370.660	754.759	2577.556	274.035	3236.922	180.542	3713.452	584.868	3992.399	266.017	4547.496	178.581	5042.883	250.011	--undefined--	--undefined--
514	2.590249	11	457.657	639.902	821.337	238.463	1390.305	360.913	1858.058	161.129	2385.856	304.175	2701.713	387.207	3264.879	202.464	3855.913	227.056	4282.194	729.504	4527.109	511.961	5019.755	419.133	--undefined--	--undefined--
515	2.595249	11	639.289	395.618	893.311	698.612	1392.807	284.826	1831.165	232.148	2381.977	162.132	2819.979	278.804	3345.235	176.697	3823.983	131.632	4316.372	124.351	4795.169	174.335	5218.887	337.205	--undefined--	--undefined--
516	2.600249	11	525.173	284.115	1054.482	389.691	1510.901	368.977	1816.679	517.634	2396.336	186.152	2826.337	341.267	3361.460	162.877	3804.815	195.374	4316.634	119.881	4775.333	167.650	5244.250	312.671	--undefined--	--undefined--
517	2.605249	11	637.185	356.167	1061.124	251.314	1591.801	103.249	2130.072	113.803	2580.222	397.881	2981.096	339.736	3365.765	241.526	3828.469	250.424	4337.506	129.310	4736.028	141.746	5343.298	258.384	--undefined--	--undefined--
518	2.610249	11	667.100	397.136	1096.514	426.751	1575.173	175.320	2112.229	117.906	2628.914	423.141	2932.297	404.395	3359.339	369.870	3836.035	254.405	4355.340	153.783	4740.812	262.961	5373.534	363.280	--undefined--	--undefined--
519	2.615249	11	60.887	658.637	866.277	541.607	1372.643	361.903	1812.018	847.701	2112.980	292.022	2741.245	257.448	3142.327	418.823	3684.640	319.122	4098.877	456.403	4463.324	251.566	5120.245	280.781	--undefined--	--undefined--
520	2.620249	11	527.431	499.736	1024.241	301.435	1384.811	277.781	1863.975	200.432	2361.541	373.350	2866.059	219.796	3445.336	446.288	3735.191	524.030	4186.320	311.937	4656.924	421.402	5213.834	539.825	--undefined--	--undefined--
521	2.625249	10	544.954	837.365	1041.127	282.502	1443.762	377.435	1847.248	204.768	2394.221	262.418	2829.867	410.354	3443.121	147.286	4014.965	439.694	4176.806	450.673	4777.641	205.527	--undefined--	--undefined--	--undefined--	--undefined--
522	2.630249	11	395.290	917.918	1063.570	245.561	1082.222	9088.543	1551.650	340.376	1960.509	284.676	2467.505	205.028	3092.971	565.226	3442.680	213.485	4039.339	206.410	4605.807	387.283	4905.055	532.968	--undefined--	--undefined--
523	2.635249	12	212.123	344.714	799.454	1283.971	1062.585	192.974	1452.982	275.621	1970.846	248.413	2523.896	280.331	3055.620	427.809	3461.541	271.529	4070.206	1437.022	4132.629	340.010	4665.654	346.505	5281.296	319.386
524	2.640249	12	237.986	298.018	973.496	379.880	1172.930	522.764	1473.166	491.191	1972.367	472.841	2475.043	993.621	2828.492	337.121	3403.011	176.276	4013.120	373.945	4101.508	648.748	4680.345	180.512	5251.728	309.971
525	2.645249	11	521.831	480.807	973.499	546.763	1216.717	359.164	1729.263	263.868	2170.745	215.014	2788.544	133.660	3349.000	174.287	3941.635	776.981	3957.972	259.486	4597.563	312.029	4899.731	405.063	--undefined--	--undefined--
526	2.650249	11	265.934	541.114	753.559	443.749	1191.259	348.478	1770.147	270.351	2167.295	216.046	2800.354	247.327	3305.293	320.101	3797.851	879.093	4002.052	405.570	4472.981	371.077	4913.837	201.643	--undefined--	--undefined--
527	2.655249	11	245.151	330.296	837.996	219.401	1345.803	483.390	1766.985	242.323	2190.921	279.720	2785.820	337.832	3220.126	477.746	3645.312	472.896	4107.643	682.690	4325.492	330.411	4913.164	155.856	--undefined--	--undefined--
528	2.660249	11	301.383	302.284	862.690	150.463	1468.159	532.426	1737.968	297.353	2196.265	425.918	2650.414	328.883	3077.451	260.758	3657.666	162.187	4071.727	401.890	4480.544	200.636	4946.750	229.653	--undefined--	--undefined--
529	2.665249	11	382.896	745.123	890.390	158.591	1407.319	384.918	1702.545	198.922	2266.298	221.174	2672.848	226.244	3137.023	213.734	3649.214	120.444	3979.153	258.662	4522.789	120.766	5001.435	121.100	--undefined--	--undefined--
530	2.670249	11	589.839	751.001	906.619	323.048	1459.803	472.824	1681.122	334.242	2269.529	243.431	2741.730	298.068	3258.386	292.163	3764.910	590.671	3823.149	291.659	4543.432	288.035	4967.993	163.359	--undefined--	--undefined--
531	2.675249	12	186.161	728.441	699.885	419.566	946.751	1010.185	1500.427	252.158	1991.726	300.845	2446.304	333.451	2915.565	256.386	3395.096	189.338	3874.972	89.333	4380.812	312.530	4826.224	266.546	5133.158	388.665
532	2.680249	12	307.962	359.582	593.963	2057.175	826.671	213.515	1480.997	140.543	1951.363	141.479	2480.018	198.014	2963.805	239.088	3431.204	139.147	3885.731	146.060	4392.816	281.101	4772.010	247.670	5134.376	298.857
533	2.685249	12	304.130	239.746	807.676	127.122	1385.133	857.564	1521.533	193.307	1923.564	294.542	2446.011	168.539	3009.946	331.109	3459.383	184.775	3826.357	208.626	4413.878	230.244	4779.340	136.771	5236.501	427.429
534	2.690249	12	317.875	341.823	773.922	204.596	1258.023	325.644	1575.669	229.953	2011.817	358.116	2451.192	202.600	3007.666	523.618	3382.245	348.153	3762.850	168.307	4371.055	158.917	4809.536	123.723	5293.551	462.230
535	2.695249	10	635.802	373.969	1159.454	331.219	1513.883	356.552	2000.104	324.620	2440.372	256.669	3128.280	837.271	3227.127	399.654	3797.701	228.138	4344.720	174.070	4901.363	301.271	--undefined--	--undefined--	--undefined--	--undefined--
536	2.700249	11	636.560	163.862	1147.707	207.114	1492.856	395.229	1951.245	258.433	2391.440	321.413	3025.697	2030.116	3111.413	325.275	3512.619	846.477	3934.975	316.474	4412.525	222.567	4972.797	306.428	--undefined--	--undefined--
537	2.705249	11	613.693	222.988	1187.364	228.284	1732.754	1015.459	1770.065	434.024	2228.570	463.852	2824.130	1331.853	3014.064	368.023	3652.030	629.068	4009.817	356.760	4478.429	414.099	4865.030	246.869	--undefined--	--undefined--
538	2.710249	11	417.617	408.679	696.101	682.375	1283.821	501.893	1712.868	185.350	2063.751	3417.485	2226.549	256.861	2854.476	271.866	3386.972	506.782	3926.518	332.518	4224.272	350.810	4817.408	213.768	--undefined--	--undefined--
539	2.715249	12	416.282	290.724	522.669	2080.260	1038.974	271.217	1631.872	214.024	2081.271	451.258	2473.840	592.466	2873.817	333.281	3536.043	1153.939	3645.557	266.188	4171.662	198.737	4667.697	151.652	5239.048	242.965
540	2.720249	11	513.149	410.797	1060.662	257.173	1619.585	174.698	2081.500	349.786	2540.520	394.761	2898.762	597.468	3339.946	710.473	3684.625	196.154	4211.101	176.906	4657.965	72.529	5227.202	207.219	--undefined--	--undefined--
541	2.725249	12	328.128	394.887	706.553	445.304	1269.376	397.521	1667.551	178.954	2099.305	625.358	2430.733	274.032	3166.155	288.143	3445.303	986.840	3760.926	343.438	4236.971	284.351	4701.367	135.795	5179.896	276.089
542	2.730249	12	316.623	262.375	749.450	184.458	1338.822	226.071	1688.472	178.789	2036.900	469.575	2419.289	255.201	3094.823	197.534	3443.881	280.375	3904.728	174.271	4347.195	239.185	4796.853	243.231	5158.258	279.512
543	2.735249	12	376.272	191.488	799.235	176.165	1338.117	236.178	1714.114	348.818	2018.576	289.325	2574.722	358.515	3045.421	283.580	3505.484	259.572	3952.611	169.526	4473.574	260.928	5029.566	1249.675	5034.407	253.767
544	2.740249	12	375.062	237.289	830.324	296.385	1427.004	455.322	1570.917	713.461	2003.137	434.058	2395.489	478.289	2951.603	172.538	3547.034	253.390	3979.616	249.797	4418.479	1586.525	4588.556	258.937	5145.494	287.431
545	2.745249	11	548.159	485.575	940.974	352.463	1545.465	208.985	1945.342	306.470	2372.253	403.279	2934.581	113.731	3495.473	494.363	3769.312	294.502	4187.040	395.642	4612.259	169.477	5226.265	196.271	--undefined--	--undefined--
546	2.750249	11	520.470	300.750	955.281	324.708	1532.458	261.723	1900.624	347.623	2361.762	468.362	2948.668	210.140	3289.615	739.586	3752.902	212.376	4157.034	331.850	4622.879	163.045	5242.054	283.908	--undefined--	--undefined--
547	2.755249	11	447.082	207.948	897.947	379.142	1449.370	227.540	1831.989	390.617	2254.333	351.016	2861.583	284.817	3248.382	343.575	3706.259	272.219	4217.977	240.664	4676.074	173.784	5257.485	591.379	--undefined--	--undefined--
548	2.760249	11	498.326	233.205	921.742	202.116	1463.131	165.149	1812.421	346.283	2283.101	246.261	2863.095	176.808	3247.952	380.331	3652.375	222.843	4207.835	243.052	4709.962	189.596	4929.210	658.432	--undefined--	--undefined--
549	2.765249	11	599.539	251.615	969.355	199.183	1573.623	220.191	1877.162	499.795	2334.546	327.105	2960.197	190.854	3249.033	1059.529	3630.720	305.026	4287.225	423.215	4451.384	1044.609	4793.414	240.257	--undefined--	--undefined--
550	2.770249	11	644.891	483.689	1033.377	230.698	1663.233	101.732	2099.243	362.063	2590.621	475.220	2966.676	372.558	3439.850	356.062	3736.475	421.598	4371.442	202.742	4767.589	306.655	5421.870	399.750	--undefined--	--undefined--
551	2.775249	11	633.559	353.962	1109.592	239.991	1675.595	122.094	2040.775	349.491	2538.999	286.338	3057.148	444.832	3394.309	273.411	3810.123	350.746	4362.770	264.393	4704.024	291.004	5368.900	243.076	--undefined--	--undefined--
552	2.780249	11	632.233	205.170	1154.563	268.947	1641.102	189.628	1976.441	326.359	2459.317	162.692	3076.668	161.623	3483.402	290.320	3920.060	275.181	4514.791	527.131	4646.638	411.778	5396.533	470.242	--undefined--	--undefined--
553	2.785249	11	601.089	249.539	1117.849	304.889	1460.414	616.156	1843.120	359.469	2430.832	222.571	2973.142	201.173	3480.977	426.636	3863.137	285.551	4502.758	716.630	4696.140	378.321	5415.785	759.632	--undefined--	--undefined--
554	2.790249	11	536.490	207.372	1032.238	303.239	1289.556	292.397	1923.524	276.600	2378.435	362.092	2866.099	154.171	3393.734	341.971	3724.897	1431.255	3934.712	143.270	4645.233	190.084	5079.437	411.206	--undefined--	--undefined--
555	2.795249	11	494.822	392.288	1124.392	265.443	1581.029	1349.581	1792.621	581.741	2137.994	490.002	2849.993	273.288	3212.956	1667.613	3381.637	236.271	3984.770	102.492	4651.259	230.479	5105.543	364.181	--undefined--	--undefined--
556	2.800249	11	238.698	436.651	766.049	607.531	1277.169	317.278	1745.513	359.126	2114.014	399.451	2816.222	160.682	3394.472	235.803	3444.439	1188.235	3997.506	174.976	4682.361	430.495	5051.927	331.016	--undefined--	--undefined--
557	2.805249	11	491.134	275.361	1002.792	355.014	1447.330	114.206	1891.368	163.787	2628.318	844.657	2787.694	196.296	3449.792	267.803	3687.470	1127.266	4056.892	275.341	4714.951	669.396	4937.550	453.572	--undefined--	--undefined--
558	2.810249	11	461.377	131.483	995.028	284.871	1422.153	106.583	1906.340	167.043	2549.794	527.820	2844.293	284.926	3519.276	251.859	3604.497	2185.525	3995.605	342.282	4397.205	475.647	4857.310	307.402	--undefined--	--undefined--
559	2.815249	11	436.695	161.201	914.274	525.429	1363.030	213.879	1955.350	311.193	2324.861	3204.361	2457.247	415.266	2933.888	212.533	3545.701	226.045	4007.400	236.704	4412.962	267.920	4881.106	259.836	--undefined--	--undefined--
560	2.820249	11	387.772	247.138	784.037	315.977	1303.508	210.942	1914.908	343.443	2186.791	2457.768	2333.133	369.368	2949.779	306.602	3468.324	241.019	4038.780	296.495	4450.479	358.849	4954.872	319.893	--undefined--	--undefined--
561	2.825249	11	502.313	306.251	989.092	526.186	1331.392	212.991	1895.843	129.280	2427.256	451.029	2658.999	813.755	3256.760	178.722	3798.622	268.380	4209.849	419.764	4662.651	303.495	5178.565	260.835	--undefined--	--undefined--
562	2.830249	12	362.338	258.369	855.748	498.044	1318.882	350.407	1608.958	1046.814	1874.841	179.819	2549.211	238.170	3200.106	1541.717	3253.529	233.193	3793.367	174.354	4368.126	385.104	4638.027	370.335	5215.658	234.571
563	2.835249	12	287.318	194.175	853.404	198.400	1396.402	298.553	1573.144	1104.621	1878.017	236.665	2481.494	184.999	3002.441	290.947	3503.006	301.827	3896.657	253.008	4386.637	191.379	4804.540	537.150	5236.239	445.347
564	2.840249	11	299.012	247.271	808.212	194.039	1270.041	781.247	1410.693	293.062	1937.643	111.339	2456.989	161.337	3013.861	172.482	3483.182	154.323	3958.388	154.220	4384.447	94.681	4895.121	138.392	--undefined--	--undefined--
565	2.845249	12	168.376	960.952	698.361	228.749	1010.830	744.952	1480.132	193.056	1959.788	126.899	2465.906	214.634	2988.555	200.242	3440.562	172.838	3877.293	217.996	4356.531	186.210	4878.883	131.707	5274.859	428.009
566	2.850249	11	756.638	286.358	869.503	911.925	1477.806	203.494	1988.650	270.810	2492.937	249.918	2956.160	226.275	3465.854	284.977	3895.246	266.234	4358.327	463.199	4886.909	251.608	5269.671	528.883	--undefined--	--undefined--
567	2.855249	11	519.987	1685.525	786.719	337.969	1426.845	254.230	1942.533	284.559	2528.102	235.965	2987.005	221.366	3618.029	749.575	3845.705	400.587	4239.997	397.422	4786.147	665.622	5161.226	411.684	--undefined--	--undefined--
568	2.860249	11	546.112	405.195	1306.033	210.631	1481.631	1330.860	1886.369	351.979	2682.214	269.408	3050.768	260.660	3361.831	1409.267	3790.748	148.484	4210.893	186.295	4709.475	416.491	5121.671	323.347	--undefined--	--undefined--
569	2.865249	12	336.246	389.012	685.921	1026.706	1215.918	251.459	1699.883	814.326	1808.623	390.149	2737.574	232.233	3100.331	329.161	3282.654	1280.697	3788.717	116.658	4204.846	170.755	4717.064	201.948	5187.917	356.621
570	2.870249	11	465.161	524.917	1167.649	282.817	1449.407	1171.337	1792.502	248.085	2433.769	811.384	2813.717	278.524	3293.628	290.297	3787.549	126.552	4210.667	242.050	4720.332	138.913	5211.932	423.503	--undefined--	--undefined--
571	2.875249	11	528.987	331.636	1055.043	417.688	1469.216	459.876	1905.189	174.569	2449.075	721.911	2827.746	266.668	3332.671	279.338	3830.634	254.544	4280.982	495.465	4637.617	220.435	5132.356	208.593	--undefined--	--undefined--
572	2.880249	11	514.994	384.908	979.769	329.979	1503.125	225.847	1927.651	112.966	2385.896	560.695	2879.829	131.712	3399.040	204.184	3919.818	276.187	4306.228	601.729	4643.096	215.606	5137.409	200.560	--undefined--	--undefined--
